sA,sB,sAB,xA,xB,dA,dB
0.328016192040806,0.485394458169832,5.14479446786595e-07,4.62692434114731e-10,5.47632421152893e-09,0.103978763347908,0.237106999098974
0.21821344352514,0.315457715332179,9.96535780788567e-09,1.07657715083759e-06,6.66034775975926e-07,0.0699499618573168,0.161688212128238
0.332513150444319,0.505298596887844,3.50938957607506e-07,1.09543942431384e-05,4.94282606492262e-05,0.11988908852369,0.225153752235635
0.252330812355359,0.465710420499273,1.27395081838443e-09,4.77858403263763e-06,0.0897162828648049,0.0811688934898682,0.283501164587952
0.152031061827338,0.22851950572562,1.89700106820224e-06,7.39250145633745e-07,4.60845216575829e-06,0.049901823593081,0.106384192184089
0.191071012228475,0.31677384628623,3.6205993679135e-05,8.88923263211175e-06,1.42182565547284e-07,0.0616247977221487,0.168788354801666
0.268237696465472,0.405358917932002,0.00952378101756911,7.84364143315893e-09,0.0280058662971422,0.0880766540018209,0.219112926583788
0.248612461591846,0.347495706240713,7.41037582734866e-06,5.7303797973553e-08,9.6171540044069e-07,0.0893319224831374,0.154586903114273
0.170788963051491,0.273651584068805,5.95666909528064e-09,1.2421924456539e-08,0.0350608292061657,0.056367884998112,0.145852628316731
0.270147965317375,0.389482818055249,2.312132635133e-07,7.37988207732738e-06,7.32934518232337e-09,0.0894027281168958,0.177640812578895
0.237043455635223,0.370115279808495,9.4584045549321e-06,5.68832469826996e-06,4.33528847176451e-05,0.0791568219958503,0.180054952493484
0.237097007519815,0.35273050889836,6.50635312748829e-06,4.5077111497493e-06,6.85187871229727e-05,0.0741415574875608,0.179953241103535
0.275300252827888,0.36927632943446,1.467771200367e-05,3.6521820793233e-08,1.31691802081718e-07,0.0987502594927793,0.162925736318914
0.200881848552829,0.349722263985593,8.79211331147052e-06,1.186990792349e-06,7.81928139875507e-08,0.0745950527014902,0.151324661673357
0.262529903573111,0.414941720346586,6.23549060489474e-09,1.06727345268898e-06,0.0496808126271963,0.0971346157926287,0.211528321544604
0.248128092723751,0.414640058703916,6.71289794205106e-08,7.21177506030754e-09,0.0577718227788318,0.0770039578775166,0.231461132660214
0.230794582074072,0.32844803541289,2.72494832834185e-06,2.60077741612183e-05,8.45666445615216e-08,0.081590626620283,0.146132344391862
0.268969438777162,0.38352591191775,1.64020314029755e-07,9.18466021794073e-06,3.58720980927883e-06,0.0910657029674131,0.175497102567784
0.215872792986999,0.335574107895672,1.84468215116665e-07,5.49218661391656e-08,0.0304107825844986,0.0691893020982829,0.178325251560993
0.313043966996932,0.4444854008798,3.96344465894531e-08,8.83220363846397e-07,3.37533528200437e-06,0.105981702988277,0.204194530257023
0.290677050904062,0.415475173178759,1.76230308296456e-06,1.96738226410538e-07,0.0494768526604323,0.103371587339003,0.206582575986834
0.267135796916214,0.437191732921593,3.55901827541677e-08,6.27364852516079e-06,7.5033786547318e-06,0.0925688968109463,0.203243835553072
0.266688351007777,0.421276520163716,1.29467725935914e-09,9.68487031000578e-06,4.66460507217307e-09,0.0961243351723822,0.182597416272102
0.239954042903567,0.374637745765331,1.43753578393824e-06,5.37348539000997e-08,1.84857207735917e-08,0.0858267893169352,0.170839795384061
0.339389097861805,0.534626799408378,3.04078834527203e-07,2.00048943860746e-06,0.0706709512204905,0.136654753343386,0.26182387166726
0.263604977728438,0.316519927066966,1.7346865796677e-08,2.10891058362961e-08,2.0991557464165e-06,0.088852790985857,0.139042543527669
0.206025276083037,0.345830584084147,7.70453684337754e-09,2.68752610729194e-06,1.92884780519989e-07,0.0706374710840623,0.156759203278917
0.228882391413207,0.326961258440293,1.64458514018773e-09,4.58446564892356e-06,6.35863379672937e-06,0.0755318348473872,0.152655820349363
0.269879619079177,0.457702572363362,4.09850939566163e-07,2.85351857009176e-08,0.0648790642689371,0.0912390185151244,0.255021617278892
0.213403698878028,0.376609812851427,5.12634091983049e-08,6.56488573084186e-07,1.62144259380914e-08,0.0750321050906319,0.170215839449487
0.259000527980126,0.443656824597485,2.41110427115651e-06,5.66161279319035e-07,0.0675844057559792,0.0888712797394993,0.242053740153989
0.239405445488896,0.386602155630141,9.87798143579661e-06,2.11726457343843e-05,1.61532827034644e-05,0.0850343056612607,0.178196783493174
0.287606704469526,0.390679864659592,2.06867714437565e-07,1.08238656713528e-05,1.56733063598663e-05,0.10434476084403,0.174776290757596
0.246993655920469,0.4202541749079,1.27447793490641e-05,8.74696589858191e-09,0.0584674905888639,0.0814550715499658,0.237477828702737
0.240702839173742,0.358263748065715,2.46739634684445e-06,4.49288080279277e-06,2.914096238023e-08,0.0837404056204343,0.167196862412292
0.296736271035196,0.393423727011114,0.0284921048621129,1.70182296317729e-07,4.36237109227684e-06,0.0996527121222575,0.204808256098771
0.252292207326078,0.331233816791173,6.51668859877851e-07,1.18555449195774e-05,1.19317646279921e-07,0.0855253248303983,0.154604768840136
0.24407104083553,0.352106383965175,6.93688064604018e-07,3.69677260699733e-09,2.1997513107756e-08,0.0806832232338547,0.166003417421944
0.254439655216076,0.350489480352777,8.07837731601302e-06,1.60817787617757e-09,1.78102472800038e-06,0.083082624548092,0.165448932424521
0.241126446296408,0.347310365010213,4.72870985081035e-07,3.70180030523195e-07,0.0315492373271108,0.0808349051613504,0.182411094146889
0.321312010812896,0.493223485437264,1.73044427249269e-06,3.90270594672856e-07,6.73342424169226e-09,0.115205398269464,0.217995542422383
0.272900142751135,0.415415156131279,3.35152051619751e-07,8.09147191985453e-08,0.0535016938576876,0.105470702308771,0.205793432057691
0.212600954634339,0.295290434625324,1.01411454925331e-05,1.52891790252371e-06,1.91754433884354e-07,0.0762335408251993,0.129905612984746
0.2048092339996,0.285609844264243,5.14689704149157e-05,1.24335512634759e-05,2.11237831759338e-05,0.071421908463333,0.128299848838869
0.225511945209349,0.400236393562269,3.69555739974264e-07,1.38373091241497e-05,0.0745015881184058,0.0818711558078181,0.216466849971633
0.219029843417092,0.287130261113076,4.54305759781897e-08,5.25016028133384e-06,3.72951827684767e-07,0.0770323664556743,0.123466692845631
0.268350198375243,0.427885799683617,4.97994295164676e-07,1.29965503004504e-05,7.87104647503854e-06,0.0953406194864313,0.183776334443518
0.268360454795275,0.39015110556822,2.91600739884101e-06,4.09410629365022e-06,1.05265090139668e-05,0.0944591139324391,0.175408273159925
0.194048420145955,0.324764553445654,1.57762758376702e-05,1.3118077823839e-07,0.0358863761864276,0.0583434918267133,0.184848714337596
0.267447227172034,0.426933478145597,6.40754591604416e-06,1.20524060759233e-06,0.0436460510174385,0.0975187178799499,0.205535151203134
0.169550215364899,0.226257188143532,2.08212981593328e-06,1.17808210319804e-08,3.58567277106216e-09,0.0585290977029432,0.102243807164383
0.295942760119187,0.461165999226624,3.47269080897957e-07,1.31361762068281e-07,0.0476407577631781,0.111995855550108,0.232031587445771
0.291868923506947,0.416703393918943,2.08720963499283e-06,5.41358567102169e-07,3.82683144490896e-06,0.0962000509406401,0.193035164905343
0.195854072634814,0.253036577922633,2.37399823564075e-06,1.25063606163624e-07,3.66049648100733e-05,0.0630810537814882,0.114546788352899
0.247815151391684,0.336920274937978,2.05950023126679e-08,3.49089377640401e-06,1.00875951702453e-06,0.0918806324699188,0.138176967836458
0.262266298624271,0.435707018845929,2.73619770873106e-07,7.34137211836261e-06,4.15851106007278e-07,0.0897137653992311,0.212280112789923
0.196373433716081,0.325212213257157,0.0207725466976461,8.89856613624834e-09,0.027642887603046,0.0646559997297336,0.181099374477436
0.251247181713032,0.440468809402355,2.27219722531234e-08,4.20206707675323e-08,0.0760718943340546,0.0956586987991035,0.237340433139416
0.293310389945817,0.422326221986822,4.16823558823967e-06,2.06582252302418e-09,3.57926692553268e-08,0.103281973823801,0.202411299557958
0.248927124446407,0.351901798752491,5.90683441526509e-07,2.33819159555168e-06,0.0251867290104338,0.0904141721183299,0.167645685788425
0.241938518086431,0.414120261156732,8.18967565098106e-07,1.79821634220042e-05,6.5576569167503e-06,0.0887393128416925,0.176809646349663
0.32051872801068,0.481439356026367,1.78877763514232e-08,4.90433277462721e-06,2.25483618340041e-08,0.118890478357063,0.196334933149886
0.231680564841439,0.376565235867221,1.34044534574614e-05,1.51505608437749e-05,0.0434173400576634,0.0756594063474492,0.203314501087569
0.263291875742885,0.458740877043362,2.70450979194836e-07,4.19048473777315e-06,1.1145211875563e-06,0.096235680883772,0.202480120080132
0.297869837039676,0.417264424746479,7.55809936913353e-08,3.44134097968685e-07,0.0445243404887722,0.107229118392483,0.200896218070065
0.192345714171171,0.300779561825802,2.67368210097521e-06,1.7793394762974e-08,7.15230211115297e-08,0.06183517971689,0.151615714482123
0.240199100242035,0.31787518272728,3.51007258703284e-09,1.02953903535554e-07,3.22286547897611e-07,0.0850260626237783,0.138375016639753
0.330552916766066,0.501263303014534,2.18901584420554e-07,3.81969133313227e-06,1.79936749893618e-06,0.120550577725005,0.219785524809653
0.237608662689696,0.370632061624605,8.47274104901874e-06,1.75012298799856e-06,5.63996829691298e-06,0.0873044274565415,0.16173513725316
0.276809161431905,0.410125389721311,4.621054842194e-07,5.09642599079915e-08,1.33858601743268e-09,0.0985534811653327,0.181668506736073
0.253446062691552,0.346481285344255,6.38797872816853e-06,2.4585970310848e-06,6.7112014250252e-06,0.0836042911616504,0.165814847995879
0.232448056008363,0.412530930681883,2.06610970798935e-06,2.60213521840708e-06,0.0711638279834777,0.0796686854065097,0.236615837857306
0.216267702890734,0.363009137511703,1.25580254185882e-06,1.06161173811995e-07,0.053758647334757,0.0731261127191124,0.19564622730579
0.224129747751814,0.435023235930109,2.2775177372984e-08,2.21473260291299e-05,2.88631639765909e-07,0.0819048035987773,0.187771565281096
0.260007039875879,0.400415140711497,1.2504287930443e-07,3.77253996388323e-07,0.0460670743259816,0.10360016186661,0.189997115296402
0.325677766816837,0.498224129210415,1.97301683535834e-07,2.81613850493441e-08,0.0428515524385412,0.131118462683955,0.22273944225876
0.193556833986988,0.286695313478791,2.62131063154808e-05,1.00416658033915e-05,1.40106545535182e-05,0.0613567037093964,0.141060787301023
0.210444835098087,0.299369320326637,2.75807208493623e-10,9.56107500858369e-07,2.82812299324127e-06,0.0729043300844946,0.138088004008006
0.254771887551262,0.353307460731389,1.40063311736348e-06,1.02072186199329e-05,8.96056521423395e-06,0.0827444804071589,0.168941152516402
0.216916302043096,0.304499428857013,1.25724185351664e-08,8.57925773707763e-07,0.0305940428443393,0.0799105498458965,0.150607240237332
0.250301299698656,0.436229732151105,2.68563814582234e-07,2.22878718482628e-06,0.0734362933095661,0.0887828392140608,0.230933165213472
0.260533863717596,0.410118663209639,2.63303976119039e-06,4.81433985093275e-07,2.04441577514528e-06,0.0938967925511421,0.177025367716097
0.20363999740636,0.337894377801844,6.38804560156798e-08,2.04773272541059e-06,1.63457710869297e-07,0.0718599902762362,0.153969271781813
0.248456023782861,0.386038032503365,4.80180620248252e-07,4.40244789530703e-06,0.041500344169765,0.0899789696553634,0.196106156275071
0.234756362286763,0.308969000056995,2.78661337727481e-08,2.90682480509844e-07,1.32460211759218e-05,0.077591067480565,0.145962093997737
0.25413441008233,0.412340828252717,6.11528191249976e-06,9.23467640830356e-06,0.0511717060537488,0.0846961144540873,0.222299574740565
0.267456076723351,0.394596093908194,4.31049032542938e-05,2.44299486603556e-05,2.03213776363779e-05,0.0882951185723337,0.187572855258875
0.323685201434587,0.573015612247001,5.29150437786011e-05,5.43974517528912e-05,2.46959242277445e-06,0.118518651802913,0.237362875406388
0.196660440961023,0.324895873987961,7.84422315750785e-06,2.78400246820942e-05,7.29275343793191e-06,0.0662976591709329,0.155084846854546
0.249144905978292,0.373310960963583,6.26899080142301e-08,3.49767700906364e-08,0.038613891441959,0.0902487896629571,0.185591746567352
0.24709589029592,0.41619320082527,7.6022907515049e-07,8.56366609600026e-06,0.0641488892251711,0.0815451133361789,0.240977823785144
0.239928773919877,0.459053029946129,1.38086039281267e-08,1.08668961268237e-05,0.0953631654129237,0.0915984291524792,0.248813854423567
0.251315030078407,0.376109470872349,9.67507677053761e-07,1.49400518328653e-05,4.80566041882994e-05,0.0903745701260406,0.167538722097019
0.217354250587321,0.310347648063784,6.97142162055025e-06,3.47323950029607e-07,7.00127296265969e-07,0.0680400274092734,0.155392905531678
0.20426206805951,0.315591041860681,4.96989966383012e-07,1.32635672569184e-06,4.15366608247821e-07,0.069058537027238,0.145308247949926
0.243774586610276,0.385697233985879,1.50016241852517e-07,7.57322850012598e-08,0.0452814534016,0.0835402507754661,0.203852237662455
0.214641320956168,0.311094127435243,3.55335420572849e-06,4.72566240402432e-06,5.98653422344653e-09,0.0766621924115383,0.140993142906427
0.225422507155475,0.340354866932436,0.0121410874541172,6.14609269278672e-09,0.0202941955413394,0.0745081123385407,0.180685444235287
0.248139083032747,0.403917643804735,1.79684533250577e-09,6.18706129940023e-06,0.0559965511976589,0.085184078363402,0.215081842264631
0.231245238762853,0.325448693113107,1.13838165442782e-06,1.86323492400903e-05,2.3565624004061e-06,0.0685594468025479,0.161288249631506
