lnlik,n_par,aic,aicc
d_fit34,-190.370319566753,5,390.740639133506,391.740639133506
sd_fit34,-189.156946078676,6,390.313892157352,391.737620970911
sxd_fit34,-189.157008356245,7,392.31401671249,394.245051195249
d_fit35,-182.061056675932,5,374.122113351864,375.122113351864
sd_fit35,-181.465462552637,6,374.930925105274,376.354653918833
sxd_fit35,-181.465478642936,7,376.930957285872,378.861991768631
d_fit36,-190.820346053007,5,391.640692106014,392.640692106014
sd_fit36,-190.245726527291,6,392.491453054582,393.915181868141
sxd_fit36,-190.246077580194,7,394.492155160388,396.423189643147
d_fit37,-190.811632225128,5,391.623264450256,392.623264450256
sd_fit37,-189.754131037338,6,391.508262074676,392.931990888235
sxd_fit37,-189.753763258106,7,393.507526516212,395.438560998971
d_fit38,-189.720396097577,5,389.440792195154,390.440792195154
sd_fit38,-188.922793236688,6,389.845586473376,391.269315286935
sxd_fit38,-188.922667586677,7,391.845335173354,393.776369656113
d_fit39,-193.365945032204,5,396.731890064408,397.731890064408
sd_fit39,-192.673689569475,6,397.34737913895,398.771107952509
sxd_fit39,-192.551765298226,7,399.103530596452,401.034565079211
d_fit40,-172.241520056852,5,354.483040113704,355.483040113704
sd_fit40,-170.862373009397,6,353.724746018794,355.148474832353
sxd_fit40,-170.862406647114,7,355.724813294228,357.655847776987
d_fit41,-185.561877254504,5,381.123754509008,382.123754509008
sd_fit41,-184.707687461357,6,381.415374922714,382.839103736273
sxd_fit41,-184.421086398148,7,382.842172796296,384.773207279055
d_fit42,-202.628154298403,5,415.256308596806,416.256308596806
sd_fit42,-201.810995691784,6,415.621991383568,417.045720197127
sxd_fit42,-201.81059670263,7,417.62119340526,419.552227888019
d_fit43,-203.43042782769,5,416.86085565538,417.86085565538
sd_fit43,-202.575054346911,6,417.150108693822,418.573837507381
sxd_fit43,-202.576988215062,7,419.153976430124,421.085010912883
d_fit44,-193.260830743398,5,396.521661486796,397.521661486796
sd_fit44,-191.877791225011,6,395.755582450022,397.179311263581
sxd_fit44,-191.320704117405,7,396.64140823481,398.572442717569
d_fit45,-200.689806259007,5,411.379612518014,412.379612518014
sd_fit45,-200.118151663585,6,412.23630332717,413.660032140729
sxd_fit45,-200.118342864994,7,414.236685729988,416.167720212747
d_fit46,-183.340011690703,5,376.680023381406,377.680023381406
sd_fit46,-181.729490142979,6,375.458980285958,376.882709099517
sxd_fit46,-181.729920223736,7,377.459840447472,379.390874930231
d_fit47,-184.027739332817,5,378.055478665634,379.055478665634
sd_fit47,-182.944966767208,6,377.889933534416,379.313662347975
sxd_fit47,-182.944774880043,7,379.889549760086,381.820584242845
d_fit48,-202.429025108214,5,414.858050216428,415.858050216428
sd_fit48,-200.970630663981,6,413.941261327962,415.364990141521
sxd_fit48,-200.74703329992,7,415.49406659984,417.425101082599
d_fit49,-187.351983904822,5,384.703967809644,385.703967809644
sd_fit49,-186.098785099998,6,384.197570199996,385.621299013555
sxd_fit49,-185.967301100617,7,385.934602201234,387.865636683993
d_fit50,-215.873184094114,5,441.746368188228,442.746368188228
sd_fit50,-215.218766716114,6,442.437533432228,443.861262245787
sxd_fit50,-215.218605597928,7,444.437211195856,446.368245678615
d_fit51,-178.945398288055,5,367.89079657611,368.89079657611
sd_fit51,-177.841254533348,6,367.682509066696,369.106237880255
sxd_fit51,-177.756216415767,7,369.512432831534,371.443467314293
d_fit52,-180.334815748104,5,370.669631496208,371.669631496208
sd_fit52,-179.35830548636,6,370.71661097272,372.140339786279
sxd_fit52,-179.358063305867,7,372.716126611734,374.647161094493
d_fit53,-207.452545960867,5,424.905091921734,425.905091921734
sd_fit53,-206.942390529642,6,425.884781059284,427.308509872843
sxd_fit53,-206.943215628852,7,427.886431257704,429.817465740463
