sB,sAB,xB,dA,dB
0.389851812874528,2.7416688085482e-05,1.51262929994988e-06,0.108077595506001,0.228968966891647
0.258066886674575,8.49385361702425e-07,6.88118330821792e-06,0.0770779372857329,0.150635985613542
0.392518981417368,2.29464641618868e-05,5.48372016260083e-07,0.122378175159617,0.219621934857579
0.345269335179362,8.42651162892495e-08,0.0155980309597168,0.0969454640436831,0.246490902409317
0.181239913859449,3.40681165496465e-06,8.32408082098026e-08,0.0530522755007982,0.100679667479257
0.235906583086106,6.0380721625978e-06,9.79345707131865e-07,0.0651473819431143,0.16124966016545
0.323270007119913,0.0235044253491857,4.32910176017022e-08,0.0966103318284317,0.201363796773839
0.28697565279607,4.01657136800481e-06,4.71485281398806e-06,0.0934417168273908,0.147963117081277
0.210686342223227,0.0125273877428365,7.74477991436423e-08,0.0606370258175787,0.130878481724393
0.31710233106063,9.68921909522475e-06,7.46167381683976e-06,0.0948586009078215,0.168761883089735
0.285820086848759,5.38072283996825e-09,5.40523231163002e-08,0.081770444320296,0.174226397899223
0.28255401186139,2.80907901529847e-08,2.75188284311413e-07,0.0778022081005176,0.173107329749401
0.312759727272895,1.91584389752058e-05,4.65220760047276e-09,0.103428145481177,0.155869396805558
0.244706030927676,1.21119316798084e-06,8.65528934732575e-06,0.0737111233509709,0.152774996057472
0.318749590753274,0.016223434790803,1.7586333777859e-06,0.101014211162245,0.193072589252559
0.314893978479797,0.0133218095680925,3.92554857447833e-08,0.0929444824068233,0.193192228051842
0.267914616838761,3.07809104248519e-06,5.19111697730549e-06,0.0847636867154332,0.140842056645435
0.313441838625601,2.36030186554082e-07,1.63445161018946e-09,0.0933445960388594,0.171485564685768
0.262312612074606,0.0133892474049813,2.8455844424557e-08,0.0748802483185496,0.163420345085559
0.36460537275169,7.58810255779193e-06,1.65407687369232e-06,0.111268044127095,0.195724374865505
0.343462517058886,2.89856741262296e-08,0.00965968094220451,0.111219467411177,0.187840815023489
0.325814664578095,2.91413769618496e-07,1.93261670522574e-07,0.0948413786082158,0.197627269180178
0.317149417656288,0.00018267874689261,2.73736663592985e-06,0.100134268207827,0.181650581499931
0.287014094253095,6.79273440608923e-08,1.87821530373536e-08,0.0870351181040686,0.167776130984656
0.415961247872005,7.70699275950245e-08,0.00972819921787274,0.143831907048964,0.23209718426924
0.287161339866025,2.49545939667849e-09,2.00240072605666e-08,0.0940192701402116,0.13242726889866
0.253225528877741,5.9517265010039e-07,3.40014611311062e-08,0.0718347817183147,0.153156619033818
0.268025245069334,3.8709510307449e-05,4.80005468662785e-06,0.0792701793550455,0.146210323800747
0.348820843366807,4.10182050913611e-08,0.0106660766821974,0.106015393789837,0.221977864864042
0.264452137345038,3.92335680047851e-08,2.19018566822805e-05,0.0749544936226891,0.168135353000159
0.328742911101485,0.0177578014622751,1.54378799387569e-08,0.0985855402079956,0.209117414608713
0.288766248810267,1.94408270939046e-05,4.4700319102953e-07,0.085629580547763,0.176019396199822
0.328453405291333,1.15134054709563e-08,1.43839259806649e-06,0.108640138621891,0.168054026473982
0.312100702727527,0.0249099531947035,2.81524690943433e-08,0.0887530701487577,0.213114188901764
0.284015041967069,1.45261533247985e-08,1.94305888203414e-05,0.0859448546786948,0.163123500173386
0.340254132012498,0.0254690992382252,1.7306889146893e-07,0.110352667949587,0.190355698453597
0.285668622987878,2.27949796872254e-06,7.0524291691948e-06,0.0913015895815392,0.146611462114527
0.286922144049403,6.95967692952128e-05,5.21210049633046e-05,0.0859103209438678,0.157371322417037
0.294055420636344,2.08302760626257e-08,4.58315477128996e-06,0.0880740740541917,0.157534670721593
0.283630928965951,0.0122209154333911,2.45454730811912e-09,0.0865212078709154,0.167516427316776
0.381984465109809,1.56135707147686e-06,3.33788025680405e-06,0.118973890966205,0.211051018009805
0.331420664559766,3.94423553994976e-08,0.0126354026926647,0.107083530552948,0.194542721252209
0.244742077766383,5.36594474059727e-08,1.07235609017994e-07,0.0806045928049479,0.123033127732156
0.236468901923726,3.27441865538084e-06,3.46322222764069e-06,0.0748741292593736,0.122731464100961
0.29655142182481,2.09146713693736e-08,0.00962867766733876,0.0933587781520726,0.182096068307744
0.246964312887886,6.40721902134264e-06,1.04492363840456e-08,0.0804532351635856,0.118468929665622
0.321176272655926,6.2697209980429e-06,2.23264076430172e-08,0.0951343046530367,0.183040563102973
0.314143862312719,6.43776556267257e-08,3.51836761684548e-06,0.0973029167800143,0.170545966559847
0.249904112882123,7.66606512995268e-06,0.00578575561198128,0.0686961703753017,0.164581778403168
0.32442189450365,0.0209327225559039,4.27600951171887e-09,0.0993037295302758,0.192478556226302
