l.c,l.m,m.c,m.m,diffusion
0.804268423150346,-0.161687488648423,-1834.17251211347,-3905.90344431303,1.04918899413548
0.579013824324454,-0.130226456072228,-914.727159922393,-2584.39940975702,0.595346280705282
0.76103171833677,-0.126458540144844,-2517.15871582192,-4604.37355294668,1.21963020942126
0.760654286655317,-0.163171462149622,-484300.535385675,-1296652.79720665,0.832904628021254
0.404164144353999,-0.0949117151865354,-1674.35172979533,-5654.34176655565,0.374960246530091
0.536515382792875,-0.121927320064076,-383890.378281474,-1146866.88366004,0.534658246444285
0.686931893639435,-0.15205207350647,-2314.18238343358,-5896.13631571585,0.697622515789187
0.624470891752331,-0.14017469220966,-1108.77773646606,-3132.65302390917,0.61240865030354
0.467920163664975,-0.110212968634141,-218144.580133165,-845543.936922372,0.368551458700971
0.690102003126577,-0.1492643114803,-833.604872555732,-2123.88143954166,0.764939923429138
0.614203707285524,-0.139905678018561,-1938.88448012593,-6147.52446491482,0.550613109294681
0.618437234648441,-0.140667172881109,-1763.68411463302,-5269.96494536744,0.555116489176356
0.664989228619218,-0.145750514374498,-477061.567311379,-1277318.25776029,0.672046498328249
0.545089794967092,-0.123661107850718,-1502.79739723836,-4245.88656066755,0.560114997959048
0.680061904704696,-0.134653584140847,-574.044044146387,-1129.69829893251,1.01833938240641
0.728007919913466,-0.158256996441322,-416705.51247972,-1116202.6027207,0.753725687122068
0.582271178044229,-0.131894759082024,-313073.022106804,-884408.130783651,0.560329248948123
0.685402500808472,-0.152737044621212,-320006.253672147,-955242.50223767,0.650727192140035
0.586606562879268,-0.130290109045988,-511.959235700789,-1371.74857087286,0.642551294452636
0.788865416763762,-0.165408135313596,-417167.58346032,-1116318.24198514,0.876724140062884
0.72305941544081,-0.158583447073631,-1025.47178356701,-2897.28870082872,0.724462361964178
0.719894868078283,-0.157099689550409,-1176.28034953926,-3514.77156819022,0.757348962494276
0.679758672316906,-0.153565645455949,-946.15362769695,-2999.92376907759,0.595993632952406
0.614770543020671,-0.140073160156231,-1116.21199691872,-3335.28958509508,0.541410974955145
0.875313563029665,-0.17718000565172,-776098.863298058,-1800268.0146814,1.08334478262912
0.636193528817618,-0.138963290918248,-1672.76749245976,-4062.42236872314,0.727014964243215
0.550834604984216,-0.126022037562436,-1200.58956919645,-3587.40925626479,0.525675122972876
0.581224892699615,-0.121029018337713,-724.661042540781,-1543.17739014172,0.791806280119122
0.763750643078172,-0.162253467146232,-1087.53580540177,-2770.8522098334,0.88626747538116
0.574680826198618,-0.128613394813549,-304131.44808778,-962940.053730714,0.569497219540543
0.748754373342425,-0.160097280083675,-476767.912201144,-1214582.08774288,0.83648093547385
0.651032304328828,-0.140104303939343,-1009.25617974223,-2341.44183173891,0.792211103263727
0.678270148025052,-0.122265346372487,-1570282.59675742,-2773655.2239141,1.07956554765287
0.693775720079577,-0.152764541565898,-316012.501737085,-891472.409183233,0.684479362084724
0.636337554861428,-0.142755444666504,-320512.873664643,-957268.958355763,0.619355920678599
0.730488887684896,-0.160668866008166,-1378.16403478622,-3893.75823263472,0.71522696445895
0.623180518240077,-0.137808163734339,-535237.224352984,-1358873.16490876,0.65042241991186
0.613029908663385,-0.133546172790629,-381571.501203919,-926641.45785807,0.70211019773682
0.63228580716158,-0.141904014533606,-452.840213900019,-1353.10614644091,0.608857711816758
0.619213648121604,-0.139485023817892,-1212.69303895897,-3623.57860991575,0.59343766141561
0.836537730410319,-0.183837960994129,-946.745475709405,-3001.80262627008,0.748651539482992
0.70952326553146,-0.151926853093878,-814.337529018801,-1977.67137816275,0.822365767412566
0.547190038641171,-0.116227379352075,-694903.776699706,-1366131.61702765,0.74858787593012
0.506326022049584,-0.116512753176053,-850.456955730248,-2541.20189159759,0.475486888113486
0.621149975524276,-0.140818204785502,-1316.8806497483,-3934.89544850924,0.572091852138982
0.532813752434738,-0.123534229266191,-862.325670654765,-2734.12326105886,0.46158552774469
0.677928553787514,-0.15100349880577,-1070.11778006441,-3023.42803768199,0.649786699748268
0.672698159844031,-0.148597917923424,-410848.534473567,-1160428.91120152,0.658535582399875
0.552755452790614,-0.128973467101738,-224236.975185891,-867332.222420606,0.430459855221379
0.695221684542027,-0.15779596594002,-3054.41170065165,-10314.8481814863,0.582428454538935
0.431478241500647,-0.100910615514981,-153058.096549063,-552242.917537535,0.381338870580862
0.766888557928413,-0.161946182696475,-1001.61170355342,-2551.93092663849,0.879491693327931
0.715079474623587,-0.158096128355017,-2767.05663968593,-7817.82664293126,0.697806903121284
0.476135743182877,-0.111713031960472,-1292.12044943536,-4363.53619636136,0.395542907995831
0.60983434635991,-0.136678008546973,-321602.337995454,-861619.138380108,0.617811324886439
0.700878578994959,-0.153604983687002,-1987.60427685174,-5064.07371449579,0.747291983900812
0.538186946662487,-0.123994863601192,-227735.3535427,-822330.214519215,0.477127393675726
0.711325956683641,-0.157509470180132,-843.017502405732,-2518.97271049695,0.693129904311173
0.734513562926413,-0.160474208211427,-966.316086117128,-2730.155865633,0.748486075292852
0.631120376476975,-0.137924276654232,-1492.61409290163,-3802.9253375839,0.705354040840454
0.644142334798604,-0.142304850735856,-1250.63360830031,-3350.95929869584,0.689297320909795
0.809559987068491,-0.172529342861737,-859.447042254148,-2302.81082891013,0.851519523786399
0.628651204350389,-0.143406222592525,-1394.69152832111,-4422.08008190933,0.543335651205593
0.697756920151565,-0.14375962827874,-368742.423973046,-855294.645807555,0.872957574257351
0.767103403976773,-0.160045495138527,-1019.3959703359,-2364.96560677888,0.933267417964617
0.534269946492509,-0.120160438594176,-355.593640579159,-1062.52902336333,0.574093305194922
0.589093869104715,-0.132465777344792,-900.028905264064,-2542.87207909851,0.591272520157967
0.851139211002302,-0.183352728861646,-1615.88114233328,-4828.32203027347,0.839736228713243
0.596469952170853,-0.112503848227139,-283.319342939383,-500.596418032039,1.04988475729474
0.700898153746752,-0.151027623268596,-492785.797781928,-1196270.1735465,0.782013809494418
0.635554218765102,-0.13579804060039,-337.701332736851,-820.129480918864,0.777170108509041
0.674169928314972,-0.148065111252815,-877.605332824834,-2351.46506566026,0.729053578345811
0.585638059425839,-0.134672736812886,-2524.6376930489,-7543.72592022501,0.49346705046972
0.653063420710137,-0.146083677739005,-360950.473624835,-1019728.00207185,0.64767042012565
0.656031070014098,-0.1493293656058,-972.273234834367,-2905.19420869258,0.556461070755709
0.824422106042129,-0.178162530878597,-434927.362748855,-1299465.42546455,0.821502147710812
0.492130171692853,-0.113947704828072,-797.455352438992,-2528.44833330269,0.450907244936857
0.542322477548798,-0.119827399703388,-165.243951237283,-442.756572108306,0.655626242576143
0.645643610273962,-0.136366767328273,-686.16561010277,-1666.39899374182,0.780701982590794
0.53558292161437,-0.123114072510326,-973.55162356128,-2909.01486782022,0.488294401675748
0.68744416540052,-0.151158332693686,-1630.99996171643,-4370.11723845599,0.742721943705583
0.665598195494509,-0.147605881520134,-1156.62999244946,-3267.8529670112,0.663811487419877
0.559213161729972,-0.123492874404766,-747.040278049154,-1903.33049394644,0.667064099762211
0.683188210566551,-0.14704985635279,-1210.87080109872,-2940.67843548895,0.794706047037919
0.587551751006428,-0.132613416982497,-522.145986098031,-1475.23394763554,0.568518891864982
0.697048479761347,-0.156761606205894,-24612804.4770583,-82840485.1009773,0.612754182912479
0.690559884854661,-0.148999057614681,-489981.903177911,-1247694.50316574,0.771707129253812
0.859405681316696,-0.181974456080206,-1516.10225120554,-4283.47810618218,0.931955640810151
0.511277155562041,-0.11675216653421,-1300.04251764461,-3673.03948653065,0.513515064960999
0.65667972356227,-0.145435951786418,-1839.21141498978,-5196.36661258732,0.669337846698826
