lnlik,n_par,aic,aicc
lm_lin_fit32,-360.110545326985,5,730.22109065397,730.02109065397
const_fit33,-331.69105935371,3,669.382118707419,669.253086449355
l_lin_fit33,-331.573924516365,4,671.14784903273,670.983914606501
lm_lin_fit33,-318.735147236101,5,647.470294472201,647.270294472201
const_fit34,-338.539991712895,3,683.079983425789,682.950951167725
l_lin_fit34,-338.016200382212,4,684.032400764424,683.868466338195
lm_lin_fit34,-325.300685752199,5,660.601371504398,660.401371504398
const_fit35,-328.954390472112,3,663.908780944225,663.77974868616
l_lin_fit35,-328.880420937149,4,665.760841874299,665.596907448069
lm_lin_fit35,-316.589234234948,5,643.178468469897,642.978468469897
const_fit36,-346.498153965927,3,698.996307931853,698.867275673789
l_lin_fit36,-346.494916585211,4,700.989833170422,700.825898744193
lm_lin_fit36,-339.044482044067,5,688.088964088133,687.888964088133
const_fit37,-349.790290240305,3,705.580580480609,705.451548222545
l_lin_fit37,-349.7896961392,4,707.579392278401,707.415457852171
lm_lin_fit37,-341.729710146337,5,693.459420292675,693.259420292675
const_fit38,-327.579922454132,3,661.159844908264,661.030812650199
l_lin_fit38,-327.384022783443,4,662.768045566887,662.604111140657
lm_lin_fit38,-315.492217352262,5,640.984434704524,640.784434704524
const_fit39,-333.823705680465,3,673.647411360931,673.518379102866
l_lin_fit39,-333.779060173692,4,675.558120347384,675.394185921155
lm_lin_fit39,-321.421803021535,5,652.84360604307,652.64360604307
const_fit40,-307.306652528514,3,620.613305057028,620.484272798964
l_lin_fit40,-306.898166017838,4,621.796332035676,621.632397609447
lm_lin_fit40,-295.362077614096,5,600.724155228192,600.524155228192
const_fit41,-337.391039593879,3,680.782079187759,680.653046929694
l_lin_fit41,-337.390919146311,4,682.781838292622,682.617903866392
lm_lin_fit41,-329.943619748239,5,669.887239496477,669.687239496477
const_fit42,-371.603741876202,3,749.207483752404,749.078451494339
l_lin_fit42,-371.602342491777,4,751.204684983553,751.040750557324
lm_lin_fit42,-361.046537437519,5,732.093074875038,731.893074875038
const_fit43,-344.562868460082,3,695.125736920164,694.9967046621
l_lin_fit43,-344.502948969165,4,697.005897938331,696.841963512101
lm_lin_fit43,-332.151527185266,5,674.303054370531,674.103054370531
const_fit44,-331.097188794447,3,668.194377588894,668.06534533083
l_lin_fit44,-331.070925009015,4,670.141850018029,669.9779155918
lm_lin_fit44,-318.838320140661,5,647.676640281322,647.476640281322
const_fit45,-340.868102505262,3,687.736205010525,687.60717275246
l_lin_fit45,-340.797873322555,4,689.59574664511,689.431812218881
lm_lin_fit45,-329.04477593966,5,668.089551879319,667.889551879319
const_fit46,-328.056518258455,3,662.113036516909,661.984004258845
l_lin_fit46,-327.89049364129,4,663.780987282581,663.617052856351
lm_lin_fit46,-315.686261949356,5,641.372523898713,641.172523898713
const_fit47,-330.129680955564,3,666.259361911129,666.130329653064
l_lin_fit47,-330.066656286698,4,668.133312573397,667.969378147167
lm_lin_fit47,-317.689093149152,5,645.378186298303,645.178186298303
const_fit48,-333.037797614354,3,672.075595228707,671.946562970643
l_lin_fit48,-332.70644237111,4,673.41288474222,673.24895031599
lm_lin_fit48,-321.357806185328,5,652.715612370656,652.515612370656
const_fit49,-318.038216827536,3,642.076433655072,641.947401397008
l_lin_fit49,-317.047951249,4,642.095902498001,641.931968071771
lm_lin_fit49,-305.841251819403,5,621.682503638806,621.482503638806
const_fit50,-363.382876768349,3,732.765753536698,732.636721278633
l_lin_fit50,-363.348575708739,4,734.697151417479,734.533216991249
lm_lin_fit50,-350.723801791499,5,711.447603582997,711.247603582997
const_fit51,-331.560081179629,3,669.120162359257,668.991130101193
l_lin_fit51,-331.497687433133,4,670.995374866267,670.831440440037
lm_lin_fit51,-324.56633868777,5,659.13267737554,658.93267737554
const_fit52,-320.836009864048,3,647.672019728096,647.542987470032
l_lin_fit52,-320.729561276444,4,649.459122552888,649.295188126658
lm_lin_fit52,-308.735151925773,5,627.470303851547,627.270303851547
const_fit53,-343.373155204318,3,692.746310408637,692.617278150572
l_lin_fit53,-343.363971514301,4,694.727943028602,694.564008602373
lm_lin_fit53,-332.032122689281,5,674.064245378562,673.864245378562
const_fit54,-340.95181834035,3,687.9036366807,687.774604422636
l_lin_fit54,-340.504108389837,4,689.008216779673,688.844282353444
lm_lin_fit54,-327.944420995731,5,665.888841991462,665.688841991462
const_fit55,-327.1152384617,3,660.230476923399,660.101444665335
l_lin_fit55,-326.777095316655,4,661.554190633309,661.39025620708
lm_lin_fit55,-314.254567619751,5,638.509135239502,638.309135239502
const_fit56,-338.990084697455,3,683.980169394911,683.851137136846
l_lin_fit56,-338.787284589601,4,685.574569179202,685.410634752972
lm_lin_fit56,-326.752681707078,5,663.505363414156,663.305363414156
const_fit57,-323.543609607238,3,653.087219214477,652.958186956412
l_lin_fit57,-323.032114522739,4,654.064229045478,653.900294619249
lm_lin_fit57,-310.755205086538,5,631.510410173076,631.310410173076
const_fit58,-320.77798915632,3,647.555978312641,647.426946054576
l_lin_fit58,-320.630754063402,4,649.261508126804,649.097573700575
lm_lin_fit58,-308.360706457969,5,626.721412915938,626.521412915938
const_fit59,-346.089598042232,3,698.179196084464,698.050163826399
l_lin_fit59,-345.917053529074,4,699.834107058147,699.670172631918
lm_lin_fit59,-332.991959437306,5,675.983918874612,675.783918874612
const_fit60,-337.173770859597,3,680.347541719194,680.21850946113
l_lin_fit60,-336.88257904506,4,681.765158090119,681.60122366389
lm_lin_fit60,-324.009776110155,5,658.01955222031,657.81955222031
const_fit61,-329.199326476009,3,664.398652952018,664.269620693953
l_lin_fit61,-329.156301094015,4,666.312602188029,666.1486677618
lm_lin_fit61,-322.199665188395,5,654.399330376791,654.199330376791
const_fit62,-325.301454925678,3,656.602909851356,656.473877593292
l_lin_fit62,-325.107083935395,4,658.214167870791,658.050233444561
lm_lin_fit62,-313.306330792853,5,636.612661585706,636.412661585706
const_fit63,-342.410047175724,3,690.820094351447,690.691062093383
l_lin_fit63,-342.223384259109,4,692.446768518218,692.282834091989
lm_lin_fit63,-334.704905409588,5,679.409810819176,679.209810819176
const_fit64,-339.782408929376,3,685.564817858752,685.435785600687
l_lin_fit64,-339.779379884917,4,687.558759769834,687.394825343604
lm_lin_fit64,-331.740361385053,5,673.480722770105,673.280722770105
const_fit65,-352.271777986403,3,710.543555972807,710.414523714742
l_lin_fit65,-351.666562280365,4,711.333124560731,711.169190134501
lm_lin_fit65,-338.581241044411,5,687.162482088822,686.962482088822
const_fit66,-336.710359117782,3,679.420718235564,679.291685977499
l_lin_fit66,-336.701510841776,4,681.403021683552,681.239087257322
lm_lin_fit66,-324.448562458804,5,658.897124917609,658.697124917609
const_fit67,-311.652621599651,3,629.305243199301,629.176210941236
l_lin_fit67,-310.616761457456,4,629.233522914912,629.069588488683
lm_lin_fit67,-298.932834804301,5,607.865669608603,607.665669608603
const_fit68,-380.349739558505,3,766.69947911701,766.570446858946
l_lin_fit68,-380.190045141614,4,768.380090283229,768.216155856999
lm_lin_fit68,-368.362953020156,5,746.725906040311,746.525906040311
const_fit69,-340.459845864465,3,686.919691728931,686.790659470866
l_lin_fit69,-340.119549615006,4,688.239099230011,688.075164803782
lm_lin_fit69,-332.890034222846,5,675.780068445692,675.580068445692
const_fit70,-354.595195591019,3,715.190391182039,715.061358923974
l_lin_fit70,-354.537843329676,4,717.075686659351,716.911752233122
lm_lin_fit70,-346.208998245354,5,702.417996490708,702.217996490708
const_fit71,-333.176777371159,3,672.353554742318,672.224522484253
l_lin_fit71,-332.80968690561,4,673.619373811219,673.45543938499
lm_lin_fit71,-319.999559186013,5,649.999118372027,649.799118372027
const_fit72,-328.771645515902,3,663.543291031805,663.41425877374
l_lin_fit72,-328.582373672895,4,665.164747345791,665.000812919561
lm_lin_fit72,-317.259628133355,5,644.51925626671,644.31925626671
const_fit73,-335.860569122414,3,677.721138244828,677.592105986764
l_lin_fit73,-335.459249177639,4,678.918498355278,678.754563929049
lm_lin_fit73,-322.747933174985,5,655.49586634997,655.29586634997
const_fit74,-321.465241644946,3,648.930483289891,648.801451031827
l_lin_fit74,-321.310261108102,4,650.620522216204,650.456587789974
lm_lin_fit74,-309.756748036824,5,629.513496073648,629.313496073648
const_fit75,-317.184396208477,3,640.368792416953,640.239760158889
l_lin_fit75,-316.77741547101,4,641.55483094202,641.390896515791
lm_lin_fit75,-304.887616180516,5,619.775232361031,619.575232361031
const_fit76,-343.597555813258,3,693.195111626516,693.066079368451
l_lin_fit76,-343.047131088545,4,694.094262177091,693.930327750861
lm_lin_fit76,-330.732714131797,5,671.465428263595,671.265428263595
const_fit77,-355.108628998256,3,716.217257996513,716.088225738448
l_lin_fit77,-354.766361093267,4,717.532722186533,717.368787760304
lm_lin_fit77,-348.138223438437,5,706.276446876875,706.076446876874
const_fit78,-347.650000436487,3,701.300000872974,701.170968614909
l_lin_fit78,-347.592743932985,4,703.18548786597,703.021553439741
lm_lin_fit78,-339.926510921227,5,689.853021842454,689.653021842454
const_fit79,-336.833710850999,3,679.667421701998,679.538389443933
l_lin_fit79,-336.683927620591,4,681.367855241181,681.203920814952
lm_lin_fit79,-324.76984399603,5,659.539687992061,659.339687992061
const_fit80,-329.322585362111,3,664.645170724222,664.516138466158
l_lin_fit80,-328.713399759222,4,665.426799518444,665.262865092215
lm_lin_fit80,-316.332307291774,5,642.664614583547,642.464614583547
const_fit81,-326.931083916807,3,659.862167833614,659.73313557555
l_lin_fit81,-326.831427784966,4,661.662855569932,661.498921143702
lm_lin_fit81,-314.728128484209,5,639.456256968417,639.256256968417
const_fit82,-353.036334483748,3,712.072668967496,711.943636709431
l_lin_fit82,-352.667469475219,4,713.334938950438,713.171004524209
lm_lin_fit82,-346.018045116516,5,702.036090233033,701.836090233033
const_fit83,-345.683323702452,3,697.366647404904,697.23761514684
l_lin_fit83,-345.305489399906,4,698.610978799812,698.447044373582
lm_lin_fit83,-338.953066631387,5,687.906133262773,687.706133262773
const_fit84,-339.283516079743,3,684.567032159486,684.437999901422
l_lin_fit84,-339.271116204072,4,686.542232408144,686.378297981915
lm_lin_fit84,-326.988038442488,5,663.976076884975,663.776076884975
