l.c,m.c,diffusion
0.468575665252995,7.34460594249021e-09,0.797301806837074
0.312863487249389,4.06714987234696e-06,0.451917225177262
0.472344711688816,7.06263160844073e-07,0.969026529283527
0.413360564080202,8.45384823047425e-08,0.643375650150154
0.215953314287167,3.49410222336405e-06,0.285045752273138
0.286863489860954,1.2184698969962e-09,0.412741245311424
0.391146247821668,3.22339302551507e-07,0.519225350001875
0.344418635317846,1.28435699734365e-07,0.466544646194789
0.253455833117475,6.69795953353591e-07,0.278854084058498
0.377325964634541,1.34766957858428e-07,0.580134272553549
0.343748253267597,6.95126488980942e-06,0.413311165808323
0.34283963003938,1.08826337884782e-06,0.41661412132917
0.375441757508595,3.72955870003299e-08,0.505896797963943
0.294091615986155,2.3820037208802e-08,0.421861400880749
0.384252343404652,9.31208171991897e-07,0.795522224925156
0.378653913464683,9.36607311787826e-07,0.550014750830698
0.320880410745979,4.41637016256865e-09,0.429147421791419
0.375253428398504,1.62425518689184e-06,0.499725523199946
0.316288318677049,3.20395532819932e-08,0.488892929889479
0.43667380771265,2.76666526088605e-08,0.67869314946147
0.407297634326566,3.41409881781601e-07,0.551933623704763
0.390149570237188,2.3275409379254e-06,0.569151983623041
0.380143675692698,7.07477962966039e-07,0.443141272862459
0.344560609057662,4.58357618555426e-08,0.40564969028985
0.492354050791785,1.02764064323974e-06,0.843817203480833
0.343595911924271,2.25358430140815e-06,0.561294769936749
0.300176543378106,1.1651999728031e-07,0.380927984049147
0.320611719125217,2.43941402804878e-08,0.594441777106066
0.414378546363719,1.18180700866521e-07,0.682339724469454
0.314951507060873,7.02352731721118e-08,0.433350501047677
0.396401935601079,1.46156092288619e-07,0.632096413497349
0.347345238360068,3.19199634022248e-07,0.605462951032221
0.39551236889664,2.1136974696553e-07,0.802621968977055
0.380573094246993,2.44937213602372e-06,0.524838962470338
0.342549826474776,3.47321457154447e-08,0.461111514183766
0.410642748686252,2.60217795151584e-07,0.53740355677321
0.343977637490671,1.85905587943903e-05,0.499574096599064
0.342379716563871,1.90612765060908e-06,0.548916125955277
0.352802353918113,3.63581368198093e-07,0.467886779017164
0.343662381718814,6.16363526070533e-07,0.449189537854938
0.456070729094397,3.87552834442853e-09,0.554156679626353
0.392736119061163,1.30895732625947e-08,0.633941515418937
0.292555950138912,1.11923368908015e-08,0.605393651309052
0.283604335130591,4.47926043806121e-07,0.355573677722316
0.349866551883069,4.30469635689183e-08,0.426315665570358
0.294249375969617,1.97259329928517e-08,0.338009123551453
0.382603073375883,1.84004086007378e-08,0.493857949521908
0.37625991362679,5.34803962846358e-08,0.499261912182032
0.297706225137225,4.4118264737574e-07,0.317162078397841
0.386107282486253,9.43372054736419e-08,0.424749530499746
0.231452468206488,4.27825074876017e-09,0.293125918090634
0.429675453801935,7.30094242181767e-07,0.676669022984979
0.408381984769746,2.83768632294758e-07,0.533810877103654
0.263082824058905,5.21867296238897e-08,0.292060886965689
0.334734341302302,1.36830682037869e-07,0.465742018283902
0.386523567736177,2.68912659040408e-07,0.563444346832351
0.297160585075452,1.88380111882657e-06,0.361090791176375
0.386985990897258,1.92950210487953e-09,0.520949983906193
0.415979212665735,3.82135129564168e-07,0.58189599075973
0.345106851584024,1.98659619222928e-06,0.538585101848923
0.351390124198959,5.6613568852143e-08,0.533623568267722
0.446693358431627,3.3087920096015e-05,0.643642140524975
0.346388645139686,8.08134696898061e-07,0.400905906407845
0.38641631824605,4.48935561371603e-06,0.677391792446995
0.411261834147911,8.38175213861926e-07,0.714789071393401
0.281223405208417,8.97919359078411e-07,0.42886272597675
0.323695632473103,2.33585136920169e-05,0.444623823656386
0.467282701280664,1.83320464982063e-06,0.632144189295047
0.337858880658021,5.42023029996556e-06,0.810594131538938
0.388286334618981,4.02945357426507e-06,0.60849967776915
0.351768744893567,3.1746398735406e-07,0.58598737689775
0.366922102825197,8.3424867416176e-07,0.549162660862181
0.32712898001858,5.57605131172776e-06,0.363535848744594
0.335759188663455,4.98171076668636e-06,0.474396621757592
0.371550175998837,3.72082304277866e-07,0.416443384482672
0.457666483995395,3.92309509386797e-07,0.625532238306325
0.276905393287089,6.2619719824816e-06,0.335429481751362
0.29417561760424,1.82199831577115e-06,0.50199341034677
0.35501655205704,2.3522551115304e-06,0.609072867919115
0.302747251576533,4.10590259813854e-08,0.364553113220496
0.382221939514174,8.84853437789362e-07,0.549934366989561
0.370586924864953,1.03863805619766e-08,0.503477483838991
0.296608446800275,1.08655787989226e-06,0.51572895812032
0.361264325747132,2.39731134974094e-06,0.589889261704758
0.321333792235757,1.88664361705136e-07,0.426809345124275
0.380014100123206,2.89692563990099e-08,0.460939629643301
0.380439436326129,3.28409328382613e-06,0.58944710730198
0.471046590331404,5.31676378857725e-08,0.713308242419454
0.288356605895228,5.97131361503558e-07,0.396169886746545
0.355951945463124,3.33779927364895e-06,0.510302438335984
0.384039173036425,3.00986111083097e-07,0.607813732090919
0.381157331743531,1.30749751728656e-06,0.613896271993866
0.35516425170583,1.95717489957847e-07,0.534646550222705
0.308515338443269,1.69871957198897e-07,0.442852726606387
0.291715565710235,1.12502635632756e-06,0.414879085681582
0.359085020702747,1.58828466347656e-06,0.401669291315859
0.300790077655293,9.52503407574273e-07,0.426591087639703
0.326678031338603,2.86986663603153e-06,0.398936600165887
0.370737683004832,5.39881341011457e-07,0.631547817138984
0.324942377211681,1.20160153263268e-09,0.45535807439735
