lnlik,n_par,aic,aicc
lm_lin_fit32,-246.559766855679,5,503.119533711357,504.119533711357
const_fit33,-238.17517434001,3,482.350348680019,482.737445454213
l_lin_fit33,-238.124153344565,4,484.248306689129,484.904044394047
lm_lin_fit33,-228.343304818238,5,466.686609636476,467.686609636476
const_fit34,-244.114476663806,3,494.228953327612,494.616050101805
l_lin_fit34,-243.828060442461,4,495.656120884922,496.31185858984
lm_lin_fit34,-233.955357059565,5,477.91071411913,478.91071411913
const_fit35,-233.306756761718,3,472.613513523436,473.00061029763
l_lin_fit35,-233.296554673733,4,474.593109347465,475.248847052383
lm_lin_fit35,-224.46726920132,5,458.93453840264,459.93453840264
const_fit36,-247.708704812184,3,501.417409624368,501.804506398562
l_lin_fit36,-247.699137644651,4,503.398275289303,504.054012994221
lm_lin_fit36,-238.084122029625,5,486.16824405925,487.16824405925
const_fit37,-251.299094955601,3,508.598189911201,508.985286685395
l_lin_fit37,-251.286623756804,4,510.573247513609,511.228985218527
lm_lin_fit37,-240.973357442189,5,491.946714884379,492.946714884379
const_fit38,-242.079648718299,3,490.159297436599,490.546394210792
l_lin_fit38,-242.002468709824,4,492.004937419648,492.660675124566
lm_lin_fit38,-232.573434193745,5,475.14686838749,476.14686838749
const_fit39,-243.301697077526,3,492.603394155052,492.990490929245
l_lin_fit39,-243.288079008509,4,494.576158017018,495.231895721936
lm_lin_fit39,-233.805802631338,5,477.611605262675,478.611605262675
const_fit40,-221.685753085288,3,449.371506170576,449.75860294477
l_lin_fit40,-221.482745542785,4,450.96549108557,451.621228790488
lm_lin_fit40,-212.596557771066,5,435.193115542132,436.193115542132
const_fit41,-240.984663165308,3,487.969326330616,488.35642310481
l_lin_fit41,-240.94969041773,4,489.899380835459,490.555118540377
lm_lin_fit41,-230.793424374217,5,471.586848748433,472.586848748433
const_fit42,-269.371818830047,3,544.743637660093,545.130734434287
l_lin_fit42,-269.339699080712,4,546.679398161424,547.335135866342
lm_lin_fit42,-257.736025905986,5,525.472051811971,526.472051811971
const_fit43,-254.296477724922,3,514.592955449843,514.980052224037
l_lin_fit43,-254.293158662449,4,516.586317324897,517.242055029815
lm_lin_fit43,-245.257340542794,5,500.514681085589,501.514681085589
const_fit44,-239.821691915571,3,485.643383831142,486.030480605335
l_lin_fit44,-239.821603016827,4,487.643206033653,488.298943738571
lm_lin_fit44,-231.183823082811,5,472.367646165621,473.367646165621
const_fit45,-250.631567203469,3,507.263134406938,507.650231181131
l_lin_fit45,-250.625728920742,4,509.251457841484,509.907195546402
lm_lin_fit45,-242.74869426083,5,495.49738852166,496.49738852166
const_fit46,-235.768275767868,3,477.536551535735,477.923648309929
l_lin_fit46,-235.732021889034,4,479.464043778069,480.119781482987
lm_lin_fit46,-226.553876155129,5,463.107752310258,464.107752310258
const_fit47,-238.953970501135,3,483.90794100227,484.295037776464
l_lin_fit47,-238.929792598073,4,485.859585196146,486.515322901064
lm_lin_fit47,-229.513471660896,5,469.026943321792,470.026943321792
const_fit48,-246.942106542713,3,499.884213085425,500.271309859619
l_lin_fit48,-246.758478149063,4,501.516956298126,502.172694003044
lm_lin_fit48,-238.876369247056,5,487.752738494113,488.752738494113
const_fit49,-230.565847071469,3,467.131694142938,467.518790917131
l_lin_fit49,-229.973167871491,4,467.946335742982,468.6020734479
lm_lin_fit49,-221.702321769593,5,453.404643539187,454.404643539187
const_fit50,-268.939826446556,3,543.879652893113,544.266749667306
l_lin_fit50,-268.939745933369,4,545.879491866738,546.535229571656
lm_lin_fit50,-260.268216953791,5,530.536433907582,531.536433907582
const_fit51,-235.648103912093,3,477.296207824187,477.683304598381
l_lin_fit51,-235.645667381805,4,479.29133476361,479.947072468528
lm_lin_fit51,-225.166018929049,5,460.332037858098,461.332037858098
const_fit52,-231.563950531893,3,469.127901063786,469.51499783798
l_lin_fit52,-231.535059909444,4,471.070119818888,471.725857523806
lm_lin_fit52,-222.318055846974,5,454.636111693948,455.636111693948
const_fit53,-256.091780738284,3,518.183561476569,518.570658250762
l_lin_fit53,-256.061592839604,4,520.123185679207,520.778923384126
lm_lin_fit53,-248.537035086445,5,507.074070172889,508.074070172889
const_fit54,-247.621982706378,3,501.243965412756,501.63106218695
l_lin_fit54,-247.455774292715,4,502.91154858543,503.567286290348
lm_lin_fit54,-237.656588748761,5,485.313177497522,486.313177497522
const_fit55,-238.288788590118,3,482.577577180236,482.964673954429
l_lin_fit55,-238.012398926776,4,484.024797853551,484.680535558469
lm_lin_fit55,-227.344148040473,5,464.688296080946,465.688296080946
const_fit56,-250.199175673807,3,506.398351347613,506.785448121807
l_lin_fit56,-250.088948842158,4,508.177897684315,508.833635389233
lm_lin_fit56,-241.199667508169,5,492.399335016337,493.399335016337
const_fit57,-235.08361891424,3,476.16723782848,476.554334602674
l_lin_fit57,-234.778091430571,4,477.556182861142,478.21192056606
lm_lin_fit57,-224.779631322536,5,459.559262645072,460.559262645072
const_fit58,-232.631459005652,3,471.262918011304,471.650014785498
l_lin_fit58,-232.592749471046,4,473.185498942092,473.84123664701
lm_lin_fit58,-222.501043507423,5,455.002087014846,456.002087014846
const_fit59,-250.053222365226,3,506.106444730452,506.493541504646
l_lin_fit59,-249.997201645787,4,507.994403291574,508.650140996492
lm_lin_fit59,-239.563518218919,5,489.127036437837,490.127036437837
const_fit60,-245.556008961689,3,497.112017923377,497.499114697571
l_lin_fit60,-245.441850305888,4,498.883700611776,499.539438316694
lm_lin_fit60,-234.790672054865,5,479.581344109731,480.581344109731
const_fit61,-230.025771200041,3,466.051542400081,466.438639174275
l_lin_fit61,-230.023979687635,4,468.047959375271,468.703697080189
lm_lin_fit61,-220.50627225622,5,451.012544512441,452.012544512441
const_fit62,-239.293239206897,3,484.586478413794,484.973575187987
l_lin_fit62,-239.162110356667,4,486.324220713334,486.979958418252
lm_lin_fit62,-230.459361780255,5,470.91872356051,471.91872356051
const_fit63,-246.532118252357,3,499.064236504714,499.451333278908
l_lin_fit63,-246.487325130439,4,500.974650260877,501.630387965795
lm_lin_fit63,-235.232249747345,5,480.464499494691,481.464499494691
const_fit64,-241.328398631643,3,488.656797263285,489.043894037479
l_lin_fit64,-241.278307516379,4,490.556615032757,491.212352737675
lm_lin_fit64,-230.535192600696,5,471.070385201392,472.070385201392
const_fit65,-260.632620001421,3,527.265240002841,527.652336777035
l_lin_fit65,-260.350114998145,4,528.700229996289,529.355967701207
lm_lin_fit65,-249.205592606325,5,508.411185212649,509.411185212649
const_fit66,-247.79557648245,3,501.5911529649,501.978249739094
l_lin_fit66,-247.689264872049,4,503.378529744097,504.034267449015
lm_lin_fit66,-238.530750974348,5,487.061501948696,488.061501948696
const_fit67,-224.025258951355,3,454.05051790271,454.437614676904
l_lin_fit67,-223.502937759118,4,455.005875518236,455.661613223154
lm_lin_fit67,-213.679599299063,5,437.359198598126,438.359198598126
const_fit68,-270.133744557149,3,546.267489114298,546.654585888491
l_lin_fit68,-270.028289639266,4,548.056579278532,548.71231698345
lm_lin_fit68,-256.870444834369,5,523.740889668739,524.740889668739
const_fit69,-241.798443267854,3,489.596886535708,489.983983309902
l_lin_fit69,-241.729514421871,4,491.459028843743,492.114766548661
lm_lin_fit69,-231.208102072856,5,472.416204145713,473.416204145713
const_fit70,-252.293391943259,3,510.586783886517,510.973880660711
l_lin_fit70,-252.281004070507,4,512.562008141015,513.217745845933
lm_lin_fit70,-241.498188622587,5,492.996377245175,493.996377245175
const_fit71,-241.31100216454,3,488.622004329081,489.009101103274
l_lin_fit71,-241.157781487103,4,490.315562974205,490.971300679123
lm_lin_fit71,-230.493093656447,5,470.986187312894,471.986187312894
const_fit72,-241.638116625237,3,489.276233250474,489.663330024668
l_lin_fit72,-241.611641585435,4,491.22328317087,491.879020875788
lm_lin_fit72,-233.644618835713,5,477.289237671425,478.289237671425
const_fit73,-245.39162146929,3,496.78324293858,497.170339712773
l_lin_fit73,-245.207958519621,4,498.415917039243,499.071654744161
lm_lin_fit73,-234.940612472404,5,479.881224944808,480.881224944808
const_fit74,-233.893029014173,3,473.786058028346,474.17315480254
l_lin_fit74,-233.868249864414,4,475.736499728828,476.392237433746
lm_lin_fit74,-225.884475639297,5,461.768951278594,462.768951278594
const_fit75,-226.31271256565,3,458.6254251313,459.012521905493
l_lin_fit75,-226.203521239434,4,460.407042478867,461.062780183785
lm_lin_fit75,-216.661110295955,5,443.322220591911,444.322220591911
const_fit76,-254.802660923305,3,515.605321846611,515.992418620804
l_lin_fit76,-254.437286996159,4,516.874573992318,517.530311697236
lm_lin_fit76,-245.248593681088,5,500.497187362177,501.497187362177
const_fit77,-260.860898787029,3,527.721797574058,528.108894348251
l_lin_fit77,-260.713681986155,4,529.427363972309,530.083101677227
lm_lin_fit77,-249.080208463197,5,508.160416926393,509.160416926393
const_fit78,-251.306528920792,3,508.613057841584,509.000154615778
l_lin_fit78,-251.299135452343,4,510.598270904687,511.254008609605
lm_lin_fit78,-240.303785813781,5,490.607571627562,491.607571627562
const_fit79,-248.833723402097,3,503.667446804193,504.054543578387
l_lin_fit79,-248.779421799075,4,505.55884359815,506.214581303068
lm_lin_fit79,-240.07412036702,5,490.14824073404,491.14824073404
const_fit80,-238.345133087442,3,482.690266174883,483.077362949077
l_lin_fit80,-237.98152495592,4,483.963049911841,484.618787616759
lm_lin_fit80,-227.470441037473,5,464.940882074947,465.940882074947
const_fit81,-239.319954536532,3,484.639909073064,485.027005847257
l_lin_fit81,-239.317537122987,4,486.635074245975,487.290811950893
lm_lin_fit81,-229.843505886732,5,469.687011773465,470.687011773465
const_fit82,-260.446820233618,3,526.893640467235,527.280737241429
l_lin_fit82,-260.373364038657,4,528.746728077314,529.402465782232
lm_lin_fit82,-248.861895310791,5,507.723790621581,508.723790621581
const_fit83,-247.462343091602,3,500.924686183205,501.311782957398
l_lin_fit83,-247.256076705546,4,502.512153411091,503.167891116009
lm_lin_fit83,-236.231275836366,5,482.462551672732,483.462551672732
const_fit84,-248.973312253927,3,503.946624507854,504.333721282048
l_lin_fit84,-248.972239943602,4,505.944479887205,506.600217592123
lm_lin_fit84,-239.972850888087,5,489.945701776174,490.945701776174
const_fit85,-234.604356229871,3,475.208712459743,475.595809233936
l_lin_fit85,-234.402749468645,4,476.80549893729,477.461236642208
lm_lin_fit85,-225.300979704339,5,460.601959408678,461.601959408678
const_fit86,-243.038529627457,3,492.077059254915,492.464156029108
l_lin_fit86,-242.96143872262,4,493.92287744524,494.578615150158
lm_lin_fit86,-232.240095752535,5,474.480191505071,475.480191505071
const_fit87,-226.486798159937,3,458.973596319873,459.360693094067
l_lin_fit87,-226.009368596904,4,460.018737193808,460.674474898726
lm_lin_fit87,-215.261537738596,5,440.523075477192,441.523075477192
const_fit88,-255.566940793934,3,517.133881587868,517.520978362061
l_lin_fit88,-255.090911832219,4,518.181823664439,518.837561369357
lm_lin_fit88,-244.73356335738,5,499.467126714759,500.467126714759
const_fit89,-244.062296033167,3,494.124592066335,494.511688840528
