albicans,alborufescens,amnicola,angelana,argyrophylla,atlantica,baumgratziana,brunnea,budlejoides,burchellii,capixaba,castaneiflora,chrysophylla,cinerascens,cipoensis,corallina,cowanii,cubatanensis,cyathanthera,dichrophylla,discolor,dispar,dura,fallax,fasciculata,ferruginata,flammea,formosa,heliotropoides,hyemalis,hypoleuca,kollmannii,kriegeriana,lepidota,longispicata,lourteigiana,lymanii,macrothyrsa,macuxi,mayarae,mellina,multispicata,navioensis,octopetala,penduliflora,pepericarpa,petroniana,polyandra,pterocaulon,punctata,racemifera,robusta,rondoniensis,rufescens,ruficalyx,ruschiana,sclerophylla,secundiflora,serialis,setosociliata,shepherdii,stenostachya,suberosa,tiliifolia,valtheri,willdenowii
fasciculata,16.2352639234,16.2352639238,14.8860484544,7.0042489445,16.2352639242,6.4201150024,5.988009258,6.4201150026,8.9380073676,14.8860484537,8.9380073676,7.0042489445,14.8860484541,7.0042489452,12.045552254,7.0042489449,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,6.4201150024,16.2352639238,0,14.8860484537,6.4201150026,7.0042489452,14.8860484544,7.0042489444,16.2352639233,5.988009258,14.886048453,14.8860484529,16.2352639245,16.2352639234,7.0042489444,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,6.4201150024,6.4201150028,7.0042489449,14.886048453,16.2352639242,14.886048454,3.267777274,6.4201150026,14.8860484525,14.886048455,14.8860484528,5.988009258,7.0042489449,16.2352639231,16.2352639231,8.9380073682,7.0042489449,16.2352639238,16.2352639245,14.886048455,14.8860484525,6.4201150026
ferruginata,16.2352639231,16.2352639235,11.1887330181,14.886048453,16.2352639239,14.8860484533,14.8860484537,14.8860484535,14.8860484533,1.0555499894,14.8860484533,14.886048453,11.1887330178,14.8860484537,14.8860484537,14.8860484534,11.1887330181,14.8860484539,14.8860484537,11.1887330178,14.8860484533,4.2337374757,14.8860484533,16.2352639235,14.8860484537,0,14.8860484535,14.8860484537,12.3162801293,14.8860484529,16.235263923,14.8860484537,13.5100756815,13.5100756814,16.2352639242,16.2352639231,14.8860484529,12.3162801293,16.2352639233,16.2352639239,13.5100756821,13.5100756811,16.235263923,14.8860484533,14.8860484533,14.8860484537,14.8860484534,13.5100756815,16.2352639239,11.1887330177,14.8860484537,14.8860484535,13.510075681,11.1887330187,13.5100756813,14.8860484537,14.8860484534,16.2352639228,16.2352639228,14.8860484539,14.8860484534,16.2352639235,16.2352639242,11.1887330187,13.510075681,14.8860484535
flammea,16.2352639232,16.2352639236,14.8860484542,7.0042489443,16.235263924,5.5646694322,6.4201150026,0.9707834824,8.9380073674,14.8860484535,8.9380073674,7.0042489443,14.8860484539,7.004248945,12.0455522538,7.0042489447,14.8860484542,8.938007368,12.0455522538,14.8860484539,8.9380073674,14.8860484538,5.5646694322,16.2352639236,6.4201150026,14.8860484535,0,7.004248945,14.8860484542,7.0042489442,16.2352639231,6.4201150026,14.8860484528,14.8860484527,16.2352639243,16.2352639232,7.0042489442,14.8860484542,16.2352639234,16.235263924,14.8860484534,14.8860484524,16.2352639231,8.9380073674,3.6563735162,4.7766999398,7.0042489447,14.8860484528,16.235263924,14.8860484538,6.4201150026,1.4859848904,14.8860484523,14.8860484548,14.8860484526,6.4201150026,7.0042489447,16.2352639229,16.2352639229,8.938007368,7.0042489447,16.2352639236,16.2352639243,14.8860484548,14.8860484523,0.5769125418
formosa,16.2352639234,16.2352639238,14.8860484544,5.5840760037,16.2352639242,7.0042489448,7.0042489452,7.004248945,8.9380073676,14.8860484537,8.9380073676,5.5840760037,14.8860484541,4.415829662,12.045552254,5.5840760041,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,7.0042489448,16.2352639238,7.0042489452,14.8860484537,7.004248945,0,14.8860484544,5.5840760036,16.2352639233,7.0042489452,14.886048453,14.8860484529,16.2352639245,16.2352639234,5.5840760036,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,7.0042489448,7.0042489452,5.5840760041,14.886048453,16.2352639242,14.886048454,7.0042489452,7.004248945,14.8860484525,14.886048455,14.8860484528,7.0042489452,5.5840760041,16.2352639231,16.2352639231,8.9380073682,5.5840760041,16.2352639238,16.2352639245,14.886048455,14.8860484525,7.004248945
heliotropoides,16.2352639238,16.2352639242,12.31628013,14.8860484537,16.2352639246,14.886048454,14.8860484544,14.8860484542,14.886048454,12.3162801293,14.886048454,14.8860484537,12.3162801297,14.8860484544,14.8860484544,14.8860484541,12.31628013,14.8860484546,14.8860484544,12.3162801297,14.886048454,12.3162801296,14.886048454,16.2352639242,14.8860484544,12.3162801293,14.8860484542,14.8860484544,0,14.8860484536,16.2352639237,14.8860484544,13.5100756822,13.5100756821,16.2352639249,16.2352639238,14.8860484536,7.456124808,16.235263924,16.2352639246,13.5100756828,13.5100756818,16.2352639237,14.886048454,14.886048454,14.8860484544,14.8860484541,13.5100756822,16.2352639246,12.3162801296,14.8860484544,14.8860484542,13.5100756817,12.3162801306,13.510075682,14.8860484544,14.8860484541,16.2352639235,16.2352639235,14.8860484546,14.8860484541,16.2352639242,16.2352639249,12.3162801306,13.5100756817,14.8860484542
hyemalis,16.2352639226,16.235263923,14.8860484536,3.2915262459,16.2352639234,7.004248944,7.0042489444,7.0042489442,8.9380073668,14.8860484529,8.9380073668,4.5802346917,14.8860484533,5.5840760036,12.0455522532,4.5802346921,14.8860484536,8.9380073674,12.0455522532,14.8860484533,8.9380073668,14.8860484532,7.004248944,16.235263923,7.0042489444,14.8860484529,7.0042489442,5.5840760036,14.8860484536,0,16.2352639225,7.0042489444,14.8860484522,14.8860484521,16.2352639237,16.2352639226,0.9921561618,14.8860484536,16.2352639228,16.2352639234,14.8860484528,14.8860484518,16.2352639225,8.9380073668,7.004248944,7.0042489444,4.5802346921,14.8860484522,16.2352639234,14.8860484532,7.0042489444,7.0042489442,14.8860484517,14.8860484542,14.886048452,7.0042489444,4.5802346921,16.2352639223,16.2352639223,8.9380073674,4.5802346921,16.235263923,16.2352639237,14.8860484542,14.8860484517,7.0042489442
hypoleuca,6.9877973261,10.9323932735,16.2352639237,16.2352639226,14.0741888379,16.2352639229,16.2352639233,16.2352639231,16.2352639229,16.235263923,16.2352639229,16.2352639226,16.2352639234,16.2352639233,16.2352639233,16.235263923,16.2352639237,16.2352639235,16.2352639233,16.2352639234,16.2352639229,16.2352639233,16.2352639229,14.0741888375,16.2352639233,16.235263923,16.2352639231,16.2352639233,16.2352639237,16.2352639225,0,16.2352639233,16.2352639223,16.2352639222,14.9424439328,6.9877973261,16.2352639225,16.2352639237,14.0741888373,14.0741888379,16.2352639229,16.2352639219,10.05082209,16.2352639229,16.2352639229,16.2352639233,16.235263923,16.2352639223,14.0741888379,16.2352639233,16.2352639233,16.2352639231,16.2352639218,16.2352639243,16.2352639221,16.2352639233,16.235263923,10.0508220898,10.0508220898,16.2352639235,16.235263923,14.0741888375,14.9424439328,16.2352639243,16.2352639218,16.2352639231
kollmannii,16.2352639234,16.2352639238,14.8860484544,7.0042489445,16.2352639242,6.4201150024,4.008179994,6.4201150026,8.9380073676,14.8860484537,8.9380073676,7.0042489445,14.8860484541,7.0042489452,12.045552254,7.0042489449,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,6.4201150024,16.2352639238,5.988009258,14.8860484537,6.4201150026,7.0042489452,14.8860484544,7.0042489444,16.2352639233,0,14.886048453,14.8860484529,16.2352639245,16.2352639234,7.0042489444,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,6.4201150024,6.4201150028,7.0042489449,14.886048453,16.2352639242,14.886048454,5.988009258,6.4201150026,14.8860484525,14.886048455,14.8860484528,4.008179994,7.0042489449,16.2352639231,16.2352639231,8.9380073682,7.0042489449,16.2352639238,16.2352639245,14.886048455,14.8860484525,6.4201150026
kriegeriana,16.2352639224,16.2352639228,13.5100756822,14.8860484523,16.2352639232,14.8860484526,14.886048453,14.8860484528,14.8860484526,13.5100756815,14.8860484526,14.8860484523,13.5100756819,14.886048453,14.886048453,14.8860484527,13.5100756822,14.8860484532,14.886048453,13.5100756819,14.8860484526,13.5100756818,14.8860484526,16.2352639228,14.886048453,13.5100756815,14.8860484528,14.886048453,13.5100756822,14.8860484522,16.2352639223,14.886048453,0,1.3656742103,16.2352639235,16.2352639224,14.8860484522,13.5100756822,16.2352639226,16.2352639232,8.3795831274,6.2607128444,16.2352639223,14.8860484526,14.8860484526,14.886048453,14.8860484527,0.8595535816,16.2352639232,13.5100756818,14.886048453,14.8860484528,5.2727841683,13.5100756828,3.6600888442,14.886048453,14.8860484527,16.2352639221,16.2352639221,14.8860484532,14.8860484527,16.2352639228,16.2352639235,13.5100756828,5.2727841683,14.8860484528
lepidota,16.2352639223,16.2352639227,13.5100756821,14.8860484522,16.2352639231,14.8860484525,14.8860484529,14.8860484527,14.8860484525,13.5100756814,14.8860484525,14.8860484522,13.5100756818,14.8860484529,14.8860484529,14.8860484526,13.5100756821,14.8860484531,14.8860484529,13.5100756818,14.8860484525,13.5100756817,14.8860484525,16.2352639227,14.8860484529,13.5100756814,14.8860484527,14.8860484529,13.5100756821,14.8860484521,16.2352639222,14.8860484529,1.3656742103,0,16.2352639234,16.2352639223,14.8860484521,13.5100756821,16.2352639225,16.2352639231,8.3795831273,6.2607128443,16.2352639222,14.8860484525,14.8860484525,14.8860484529,14.8860484526,1.3656742103,16.2352639231,13.5100756817,14.8860484529,14.8860484527,5.2727841682,13.5100756827,3.6600888441,14.8860484529,14.8860484526,16.235263922,16.235263922,14.8860484531,14.8860484526,16.2352639227,16.2352639234,13.5100756827,5.2727841682,14.8860484527
longispicata,14.9424439329,14.9424439333,16.2352639249,16.2352639238,14.9424439337,16.2352639241,16.2352639245,16.2352639243,16.2352639241,16.2352639242,16.2352639241,16.2352639238,16.2352639246,16.2352639245,16.2352639245,16.2352639242,16.2352639249,16.2352639247,16.2352639245,16.2352639246,16.2352639241,16.2352639245,16.2352639241,14.9424439333,16.2352639245,16.2352639242,16.2352639243,16.2352639245,16.2352639249,16.2352639237,14.9424439328,16.2352639245,16.2352639235,16.2352639234,0,14.9424439329,16.2352639237,16.2352639249,14.9424439331,14.9424439337,16.2352639241,16.2352639231,14.9424439328,16.2352639241,16.2352639241,16.2352639245,16.2352639242,16.2352639235,14.9424439337,16.2352639245,16.2352639245,16.2352639243,16.235263923,16.2352639255,16.2352639233,16.2352639245,16.2352639242,14.9424439326,14.9424439326,16.2352639247,16.2352639242,14.9424439333,10.854847882,16.2352639255,16.235263923,16.2352639243
lourteigiana,0.6795479062,10.9323932736,16.2352639238,16.2352639227,14.074188838,16.235263923,16.2352639234,16.2352639232,16.235263923,16.2352639231,16.235263923,16.2352639227,16.2352639235,16.2352639234,16.2352639234,16.2352639231,16.2352639238,16.2352639236,16.2352639234,16.2352639235,16.235263923,16.2352639234,16.235263923,14.0741888376,16.2352639234,16.2352639231,16.2352639232,16.2352639234,16.2352639238,16.2352639226,6.9877973261,16.2352639234,16.2352639224,16.2352639223,14.9424439329,0,16.2352639226,16.2352639238,14.0741888374,14.074188838,16.235263923,16.235263922,10.0508220901,16.235263923,16.235263923,16.2352639234,16.2352639231,16.2352639224,14.074188838,16.2352639234,16.2352639234,16.2352639232,16.2352639219,16.2352639244,16.2352639222,16.2352639234,16.2352639231,10.0508220899,10.0508220899,16.2352639236,16.2352639231,14.0741888376,14.9424439329,16.2352639244,16.2352639219,16.2352639232
lymanii,16.2352639226,16.235263923,14.8860484536,3.2915262459,16.2352639234,7.004248944,7.0042489444,7.0042489442,8.9380073668,14.8860484529,8.9380073668,4.5802346917,14.8860484533,5.5840760036,12.0455522532,4.5802346921,14.8860484536,8.9380073674,12.0455522532,14.8860484533,8.9380073668,14.8860484532,7.004248944,16.235263923,7.0042489444,14.8860484529,7.0042489442,5.5840760036,14.8860484536,0.9921561618,16.2352639225,7.0042489444,14.8860484522,14.8860484521,16.2352639237,16.2352639226,0,14.8860484536,16.2352639228,16.2352639234,14.8860484528,14.8860484518,16.2352639225,8.9380073668,7.004248944,7.0042489444,4.5802346921,14.8860484522,16.2352639234,14.8860484532,7.0042489444,7.0042489442,14.8860484517,14.8860484542,14.886048452,7.0042489444,4.5802346921,16.2352639223,16.2352639223,8.9380073674,4.5802346921,16.235263923,16.2352639237,14.8860484542,14.8860484517,7.0042489442
macrothyrsa,16.2352639238,16.2352639242,12.31628013,14.8860484537,16.2352639246,14.886048454,14.8860484544,14.8860484542,14.886048454,12.3162801293,14.886048454,14.8860484537,12.3162801297,14.8860484544,14.8860484544,14.8860484541,12.31628013,14.8860484546,14.8860484544,12.3162801297,14.886048454,12.3162801296,14.886048454,16.2352639242,14.8860484544,12.3162801293,14.8860484542,14.8860484544,7.456124808,14.8860484536,16.2352639237,14.8860484544,13.5100756822,13.5100756821,16.2352639249,16.2352639238,14.8860484536,0,16.235263924,16.2352639246,13.5100756828,13.5100756818,16.2352639237,14.886048454,14.886048454,14.8860484544,14.8860484541,13.5100756822,16.2352639246,12.3162801296,14.8860484544,14.8860484542,13.5100756817,12.3162801306,13.510075682,14.8860484544,14.8860484541,16.2352639235,16.2352639235,14.8860484546,14.8860484541,16.2352639242,16.2352639249,12.3162801306,13.5100756817,14.8860484542
macuxi,14.0741888374,14.0741888378,16.235263924,16.2352639229,4.8395999126,16.2352639232,16.2352639236,16.2352639234,16.2352639232,16.2352639233,16.2352639232,16.2352639229,16.2352639237,16.2352639236,16.2352639236,16.2352639233,16.235263924,16.2352639238,16.2352639236,16.2352639237,16.2352639232,16.2352639236,16.2352639232,9.5336588338,16.2352639236,16.2352639233,16.2352639234,16.2352639236,16.235263924,16.2352639228,14.0741888373,16.2352639236,16.2352639226,16.2352639225,14.9424439331,14.0741888374,16.2352639228,16.235263924,0,4.8395999126,16.2352639232,16.2352639222,14.0741888373,16.2352639232,16.2352639232,16.2352639236,16.2352639233,16.2352639226,6.3175315194,16.2352639236,16.2352639236,16.2352639234,16.2352639221,16.2352639246,16.2352639224,16.2352639236,16.2352639233,14.0741888371,14.0741888371,16.2352639238,16.2352639233,7.5160830738,14.9424439331,16.2352639246,16.2352639221,16.2352639234
mayarae,14.074188838,14.0741888384,16.2352639246,16.2352639235,1.4383675472,16.2352639238,16.2352639242,16.235263924,16.2352639238,16.2352639239,16.2352639238,16.2352639235,16.2352639243,16.2352639242,16.2352639242,16.2352639239,16.2352639246,16.2352639244,16.2352639242,16.2352639243,16.2352639238,16.2352639242,16.2352639238,9.5336588344,16.2352639242,16.2352639239,16.235263924,16.2352639242,16.2352639246,16.2352639234,14.0741888379,16.2352639242,16.2352639232,16.2352639231,14.9424439337,14.074188838,16.2352639234,16.2352639246,4.8395999126,0,16.2352639238,16.2352639228,14.0741888379,16.2352639238,16.2352639238,16.2352639242,16.2352639239,16.2352639232,6.31753152,16.2352639242,16.2352639242,16.235263924,16.2352639227,16.2352639252,16.235263923,16.2352639242,16.2352639239,14.0741888377,14.0741888377,16.2352639244,16.2352639239,7.5160830744,14.9424439337,16.2352639252,16.2352639227,16.235263924
mellina,16.235263923,16.2352639234,13.5100756828,14.8860484529,16.2352639238,14.8860484532,14.8860484536,14.8860484534,14.8860484532,13.5100756821,14.8860484532,14.8860484529,13.5100756825,14.8860484536,14.8860484536,14.8860484533,13.5100756828,14.8860484538,14.8860484536,13.5100756825,14.8860484532,13.5100756824,14.8860484532,16.2352639234,14.8860484536,13.5100756821,14.8860484534,14.8860484536,13.5100756828,14.8860484528,16.2352639229,14.8860484536,8.3795831274,8.3795831273,16.2352639241,16.235263923,14.8860484528,13.5100756828,16.2352639232,16.2352639238,0,8.379583127,16.2352639229,14.8860484532,14.8860484532,14.8860484536,14.8860484533,8.3795831274,16.2352639238,13.5100756824,14.8860484536,14.8860484534,8.3795831269,13.5100756834,8.3795831272,14.8860484536,14.8860484533,16.2352639227,16.2352639227,14.8860484538,14.8860484533,16.2352639234,16.2352639241,13.5100756834,8.3795831269,14.8860484534
multispicata,16.235263922,16.2352639224,13.5100756818,14.8860484519,16.2352639228,14.8860484522,14.8860484526,14.8860484524,14.8860484522,13.5100756811,14.8860484522,14.8860484519,13.5100756815,14.8860484526,14.8860484526,14.8860484523,13.5100756818,14.8860484528,14.8860484526,13.5100756815,14.8860484522,13.5100756814,14.8860484522,16.2352639224,14.8860484526,13.5100756811,14.8860484524,14.8860484526,13.5100756818,14.8860484518,16.2352639219,14.8860484526,6.2607128444,6.2607128443,16.2352639231,16.235263922,14.8860484518,13.5100756818,16.2352639222,16.2352639228,8.379583127,0,16.2352639219,14.8860484522,14.8860484522,14.8860484526,14.8860484523,6.2607128444,16.2352639228,13.5100756814,14.8860484526,14.8860484524,6.2607128439,13.5100756824,6.2607128442,14.8860484526,14.8860484523,16.2352639217,16.2352639217,14.8860484528,14.8860484523,16.2352639224,16.2352639231,13.5100756824,6.2607128439,14.8860484524
navioensis,10.0508220901,10.9323932735,16.2352639237,16.2352639226,14.0741888379,16.2352639229,16.2352639233,16.2352639231,16.2352639229,16.235263923,16.2352639229,16.2352639226,16.2352639234,16.2352639233,16.2352639233,16.235263923,16.2352639237,16.2352639235,16.2352639233,16.2352639234,16.2352639229,16.2352639233,16.2352639229,14.0741888375,16.2352639233,16.235263923,16.2352639231,16.2352639233,16.2352639237,16.2352639225,10.05082209,16.2352639233,16.2352639223,16.2352639222,14.9424439328,10.0508220901,16.2352639225,16.2352639237,14.0741888373,14.0741888379,16.2352639229,16.2352639219,0,16.2352639229,16.2352639229,16.2352639233,16.235263923,16.2352639223,14.0741888379,16.2352639233,16.2352639233,16.2352639231,16.2352639218,16.2352639243,16.2352639221,16.2352639233,16.235263923,4.4475610658,4.4475610658,16.2352639235,16.235263923,14.0741888375,14.9424439328,16.2352639243,16.2352639218,16.2352639231
octopetala,16.235263923,16.2352639234,14.886048454,8.9380073669,16.2352639238,8.9380073672,8.9380073676,8.9380073674,7.410011494,14.8860484533,4.08538047,8.9380073669,14.8860484537,8.9380073676,12.0455522536,8.9380073673,14.886048454,7.9114825074,12.0455522536,14.8860484537,7.410011494,14.8860484536,8.9380073672,16.2352639234,8.9380073676,14.8860484533,8.9380073674,8.9380073676,14.886048454,8.9380073668,16.2352639229,8.9380073676,14.8860484526,14.8860484525,16.2352639241,16.235263923,8.9380073668,14.886048454,16.2352639232,16.2352639238,14.8860484532,14.8860484522,16.2352639229,0,8.9380073672,8.9380073676,8.9380073673,14.8860484526,16.2352639238,14.8860484536,8.9380073676,8.9380073674,14.8860484521,14.8860484546,14.8860484524,8.9380073676,8.9380073673,16.2352639227,16.2352639227,7.9114825074,8.9380073673,16.2352639234,16.2352639241,14.8860484546,14.8860484521,8.9380073674
penduliflora,16.235263923,16.2352639234,14.886048454,7.0042489441,16.2352639238,5.564669432,6.4201150024,3.6563735162,8.9380073672,14.8860484533,8.9380073672,7.0042489441,14.8860484537,7.0042489448,12.0455522536,7.0042489445,14.886048454,8.9380073678,12.0455522536,14.8860484537,8.9380073672,14.8860484536,5.564669432,16.2352639234,6.4201150024,14.8860484533,3.6563735162,7.0042489448,14.886048454,7.004248944,16.2352639229,6.4201150024,14.8860484526,14.8860484525,16.2352639241,16.235263923,7.004248944,14.886048454,16.2352639232,16.2352639238,14.8860484532,14.8860484522,16.2352639229,8.9380073672,0,4.7766999396,7.0042489445,14.8860484526,16.2352639238,14.8860484536,6.4201150024,3.6563735162,14.8860484521,14.8860484546,14.8860484524,6.4201150024,7.0042489445,16.2352639227,16.2352639227,8.9380073678,7.0042489445,16.2352639234,16.2352639241,14.8860484546,14.8860484521,3.6563735162
pepericarpa,16.2352639234,16.2352639238,14.8860484544,7.0042489445,16.2352639242,5.5646694324,6.4201150028,4.7766999398,8.9380073676,14.8860484537,8.9380073676,7.0042489445,14.8860484541,7.0042489452,12.045552254,7.0042489449,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,5.5646694324,16.2352639238,6.4201150028,14.8860484537,4.7766999398,7.0042489452,14.8860484544,7.0042489444,16.2352639233,6.4201150028,14.886048453,14.8860484529,16.2352639245,16.2352639234,7.0042489444,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,4.7766999396,0,7.0042489449,14.886048453,16.2352639242,14.886048454,6.4201150028,4.7766999398,14.8860484525,14.886048455,14.8860484528,6.4201150028,7.0042489449,16.2352639231,16.2352639231,8.9380073682,7.0042489449,16.2352639238,16.2352639245,14.886048455,14.8860484525,4.7766999398
petroniana,16.2352639231,16.2352639235,14.8860484541,4.5802346922,16.2352639239,7.0042489445,7.0042489449,7.0042489447,8.9380073673,14.8860484534,8.9380073673,2.8128107764,14.8860484538,5.5840760041,12.0455522537,3.465727125,14.8860484541,8.9380073679,12.0455522537,14.8860484538,8.9380073673,14.8860484537,7.0042489445,16.2352639235,7.0042489449,14.8860484534,7.0042489447,5.5840760041,14.8860484541,4.5802346921,16.235263923,7.0042489449,14.8860484527,14.8860484526,16.2352639242,16.2352639231,4.5802346921,14.8860484541,16.2352639233,16.2352639239,14.8860484533,14.8860484523,16.235263923,8.9380073673,7.0042489445,7.0042489449,0,14.8860484527,16.2352639239,14.8860484537,7.0042489449,7.0042489447,14.8860484522,14.8860484547,14.8860484525,7.0042489449,3.465727125,16.2352639228,16.2352639228,8.9380073679,1.9798716364,16.2352639235,16.2352639242,14.8860484547,14.8860484522,7.0042489447
polyandra,16.2352639224,16.2352639228,13.5100756822,14.8860484523,16.2352639232,14.8860484526,14.886048453,14.8860484528,14.8860484526,13.5100756815,14.8860484526,14.8860484523,13.5100756819,14.886048453,14.886048453,14.8860484527,13.5100756822,14.8860484532,14.886048453,13.5100756819,14.8860484526,13.5100756818,14.8860484526,16.2352639228,14.886048453,13.5100756815,14.8860484528,14.886048453,13.5100756822,14.8860484522,16.2352639223,14.886048453,0.8595535816,1.3656742103,16.2352639235,16.2352639224,14.8860484522,13.5100756822,16.2352639226,16.2352639232,8.3795831274,6.2607128444,16.2352639223,14.8860484526,14.8860484526,14.886048453,14.8860484527,0,16.2352639232,13.5100756818,14.886048453,14.8860484528,5.2727841683,13.5100756828,3.6600888442,14.886048453,14.8860484527,16.2352639221,16.2352639221,14.8860484532,14.8860484527,16.2352639228,16.2352639235,13.5100756828,5.2727841683,14.8860484528
pterocaulon,14.074188838,14.0741888384,16.2352639246,16.2352639235,6.31753152,16.2352639238,16.2352639242,16.235263924,16.2352639238,16.2352639239,16.2352639238,16.2352639235,16.2352639243,16.2352639242,16.2352639242,16.2352639239,16.2352639246,16.2352639244,16.2352639242,16.2352639243,16.2352639238,16.2352639242,16.2352639238,9.5336588344,16.2352639242,16.2352639239,16.235263924,16.2352639242,16.2352639246,16.2352639234,14.0741888379,16.2352639242,16.2352639232,16.2352639231,14.9424439337,14.074188838,16.2352639234,16.2352639246,6.3175315194,6.31753152,16.2352639238,16.2352639228,14.0741888379,16.2352639238,16.2352639238,16.2352639242,16.2352639239,16.2352639232,0,16.2352639242,16.2352639242,16.235263924,16.2352639227,16.2352639252,16.235263923,16.2352639242,16.2352639239,14.0741888377,14.0741888377,16.2352639244,16.2352639239,7.5160830744,14.9424439337,16.2352639252,16.2352639227,16.235263924
punctata,16.2352639234,16.2352639238,4.7681208924,14.8860484533,16.2352639242,14.8860484536,14.886048454,14.8860484538,14.8860484536,11.1887330177,14.8860484536,14.8860484533,4.7681208921,14.886048454,14.886048454,14.8860484537,4.7681208924,14.8860484542,14.886048454,4.7681208921,14.8860484536,11.188733018,14.8860484536,16.2352639238,14.886048454,11.1887330177,14.8860484538,14.886048454,12.3162801296,14.8860484532,16.2352639233,14.886048454,13.5100756818,13.5100756817,16.2352639245,16.2352639234,14.8860484532,12.3162801296,16.2352639236,16.2352639242,13.5100756824,13.5100756814,16.2352639233,14.8860484536,14.8860484536,14.886048454,14.8860484537,13.5100756818,16.2352639242,0,14.886048454,14.8860484538,13.5100756813,6.888101079,13.5100756816,14.886048454,14.8860484537,16.2352639231,16.2352639231,14.8860484542,14.8860484537,16.2352639238,16.2352639245,6.888101079,13.5100756813,14.8860484538
racemifera,16.2352639234,16.2352639238,14.8860484544,7.0042489445,16.2352639242,6.4201150024,5.988009258,6.4201150026,8.9380073676,14.8860484537,8.9380073676,7.0042489445,14.8860484541,7.0042489452,12.045552254,7.0042489449,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,6.4201150024,16.2352639238,3.267777274,14.8860484537,6.4201150026,7.0042489452,14.8860484544,7.0042489444,16.2352639233,5.988009258,14.886048453,14.8860484529,16.2352639245,16.2352639234,7.0042489444,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,6.4201150024,6.4201150028,7.0042489449,14.886048453,16.2352639242,14.886048454,0,6.4201150026,14.8860484525,14.886048455,14.8860484528,5.988009258,7.0042489449,16.2352639231,16.2352639231,8.9380073682,7.0042489449,16.2352639238,16.2352639245,14.886048455,14.8860484525,6.4201150026
robusta,16.2352639232,16.2352639236,14.8860484542,7.0042489443,16.235263924,5.5646694322,6.4201150026,1.4859848904,8.9380073674,14.8860484535,8.9380073674,7.0042489443,14.8860484539,7.004248945,12.0455522538,7.0042489447,14.8860484542,8.938007368,12.0455522538,14.8860484539,8.9380073674,14.8860484538,5.5646694322,16.2352639236,6.4201150026,14.8860484535,1.4859848904,7.004248945,14.8860484542,7.0042489442,16.2352639231,6.4201150026,14.8860484528,14.8860484527,16.2352639243,16.2352639232,7.0042489442,14.8860484542,16.2352639234,16.235263924,14.8860484534,14.8860484524,16.2352639231,8.9380073674,3.6563735162,4.7766999398,7.0042489447,14.8860484528,16.235263924,14.8860484538,6.4201150026,0,14.8860484523,14.8860484548,14.8860484526,6.4201150026,7.0042489447,16.2352639229,16.2352639229,8.938007368,7.0042489447,16.2352639236,16.2352639243,14.8860484548,14.8860484523,1.4859848904
rondoniensis,16.2352639219,16.2352639223,13.5100756817,14.8860484518,16.2352639227,14.8860484521,14.8860484525,14.8860484523,14.8860484521,13.510075681,14.8860484521,14.8860484518,13.5100756814,14.8860484525,14.8860484525,14.8860484522,13.5100756817,14.8860484527,14.8860484525,13.5100756814,14.8860484521,13.5100756813,14.8860484521,16.2352639223,14.8860484525,13.510075681,14.8860484523,14.8860484525,13.5100756817,14.8860484517,16.2352639218,14.8860484525,5.2727841683,5.2727841682,16.235263923,16.2352639219,14.8860484517,13.5100756817,16.2352639221,16.2352639227,8.3795831269,6.2607128439,16.2352639218,14.8860484521,14.8860484521,14.8860484525,14.8860484522,5.2727841683,16.2352639227,13.5100756813,14.8860484525,14.8860484523,0,13.5100756823,5.2727841681,14.8860484525,14.8860484522,16.2352639216,16.2352639216,14.8860484527,14.8860484522,16.2352639223,16.235263923,13.5100756823,4.314887192,14.8860484523
rufescens,16.2352639244,16.2352639248,6.8881010794,14.8860484543,16.2352639252,14.8860484546,14.886048455,14.8860484548,14.8860484546,11.1887330187,14.8860484546,14.8860484543,6.8881010791,14.886048455,14.886048455,14.8860484547,6.8881010794,14.8860484552,14.886048455,6.8881010791,14.8860484546,11.188733019,14.8860484546,16.2352639248,14.886048455,11.1887330187,14.8860484548,14.886048455,12.3162801306,14.8860484542,16.2352639243,14.886048455,13.5100756828,13.5100756827,16.2352639255,16.2352639244,14.8860484542,12.3162801306,16.2352639246,16.2352639252,13.5100756834,13.5100756824,16.2352639243,14.8860484546,14.8860484546,14.886048455,14.8860484547,13.5100756828,16.2352639252,6.888101079,14.886048455,14.8860484548,13.5100756823,0,13.5100756826,14.886048455,14.8860484547,16.2352639241,16.2352639241,14.8860484552,14.8860484547,16.2352639248,16.2352639255,4.840618636,13.5100756823,14.8860484548
