state,mean_no,intercept_no
AF,0.779068857971845,0.637741056471487
AFother,0.618770104700206,0.546838633524732
other,0.528096939054195,0.644717141961241
AF,0.765196205664712,0.776474254619256
AFother,0.626082572744212,0.615998532696033
other,0.496076341171271,0.615384945840753
AF,0.783263512231741,0.743959027832945
AFother,0.622711208120324,0.597729997822523
other,0.529836568388361,0.538944574744813
AF,0.753786821985757,0.92691464639656
AFother,0.670099802532534,0.584373675657763
other,0.496344705418164,0.574108506050598
AF,0.7822485885395,0.721116715409451
AFother,0.663800635531242,0.577356038042441
other,0.527672468853546,0.667354556307747
AF,0.785881197932158,0.692872697112781
AFother,0.664898140326875,0.590292197357716
other,0.532349215105714,0.543438776034234
AF,0.782441325192048,0.829464781546602
AFother,0.628059645441906,0.618202511666859
other,0.530456883669773,0.579960285395078
AF,0.765437730512981,0.725850775820117
AFother,0.66917446235208,0.594483166921986
other,0.496792408928425,0.588664309046073
AF,0.765677803547381,0.927205572777718
AFother,0.668465025654092,0.604139627694744
other,0.494402840876141,0.548290887602056
AF,0.76339553069066,0.666914696379996
AFother,0.667335433242398,0.597089347335117
other,0.493871717151075,0.515457558536655
AF,0.788878925057979,0.751505433810016
AFother,0.672172630807319,0.602566213310969
other,0.53098207127581,0.66374073455274
AF,0.786946828906695,0.800821362649917
AFother,0.668407874708839,0.639068579831537
other,0.526924508370043,0.600079421409399
AF,0.785199899553787,0.719939531743436
AFother,0.621008657693544,0.601090789720393
other,0.526487359885806,0.603868807589882
AF,0.767242852570031,0.661349952080585
AFother,0.672085180525569,0.587885490006591
other,0.450832997293438,0.571208281890581
AF,0.783869437110609,0.756001047269239
AFother,0.667171737005012,0.55548483065249
other,0.483445255121768,0.572051926356309
AF,0.769987002436902,0.733504054284782
AFother,0.665587350310423,0.556718342870994
other,0.495739967313128,0.601780781291725
AF,0.755638383878719,0.954339569824179
AFother,0.629815634520701,0.60190274149184
other,0.49361663818007,0.531538354064261
AF,0.775338369248271,0.805416779468744
AFother,0.664899915061599,0.574206220138362
other,0.525000907021948,0.631134971093686
