lnlik,n_par,aic,aicc
sxd_sx_lin_fit29,-186.775405951354,12,397.550811902707,397.060245864971
d_lin_fit30,-181.392596761302,8,378.785193522603,378.469404048919
sd_s_lin_fit30,-176.757389450197,10,373.514778900394,373.114778900394
sxd_sx_lin_fit30,-177.730329192923,12,379.460658385845,378.97009234811
d_lin_fit31,-188.575784757268,8,393.151569514537,392.835780040853
sd_s_lin_fit31,-183.779995808621,10,387.559991617243,387.159991617243
sxd_sx_lin_fit31,-187.245547282394,12,398.491094564789,398.000528527053
d_lin_fit32,-178.667011120067,8,373.334022240134,373.01823276645
sd_s_lin_fit32,-182.264094955725,10,384.52818991145,384.12818991145
sxd_sx_lin_fit32,-175.903388827053,12,375.806777654106,375.31621161637
d_lin_fit33,-185.995814311936,8,387.991628623872,387.675839150187
sd_s_lin_fit33,-182.601795349465,10,385.203590698931,384.803590698931
sxd_sx_lin_fit33,-182.493090408908,12,388.986180817815,388.495614780079
d_lin_fit34,-187.728663323907,8,391.457326647814,391.14153717413
sd_s_lin_fit34,-181.601331111386,10,383.202662222771,382.802662222771
sxd_sx_lin_fit34,-184.311231341704,12,392.622462683407,392.131896645671
d_lin_fit35,-176.898882002066,8,369.797764004132,369.481974530447
sd_s_lin_fit35,-171.848901455174,10,363.697802910349,363.297802910349
sxd_sx_lin_fit35,-174.008268686158,12,372.016537372316,371.52597133458
d_lin_fit36,-186.664362420773,8,389.328724841545,389.012935367861
sd_s_lin_fit36,-184.702175332447,10,389.404350664893,389.004350664893
sxd_sx_lin_fit36,-186.434516169596,12,396.869032339192,396.378466301457
d_lin_fit37,-185.914421451053,8,387.828842902105,387.513053428421
sd_s_lin_fit37,-182.186916798439,10,384.373833596878,383.973833596878
sxd_sx_lin_fit37,-182.190116451178,12,388.380232902357,387.889666864621
d_lin_fit38,-186.594151219719,8,389.188302439438,388.872512965754
sd_s_lin_fit38,-183.703585038474,10,387.407170076947,387.007170076947
sxd_sx_lin_fit38,-183.704138728625,12,391.408277457251,390.917711419515
d_lin_fit39,-188.678743121061,8,393.357486242122,393.041696768438
sd_s_lin_fit39,-187.081943718922,10,394.163887437845,393.763887437845
sxd_sx_lin_fit39,-186.915427204196,12,397.830854408391,397.340288370655
d_lin_fit40,-170.342922299925,8,356.68584459985,356.370055126166
sd_s_lin_fit40,-166.030986663951,10,352.061973327902,351.661973327902
sxd_sx_lin_fit40,-166.03159495274,12,356.06318990548,355.572623867744
d_lin_fit41,-183.103745795232,8,382.207491590463,381.891702116779
sd_s_lin_fit41,-177.885516220864,10,375.771032441728,375.371032441728
sxd_sx_lin_fit41,-179.286254180584,12,382.572508361168,382.081942323432
d_lin_fit42,-199.208686682934,8,414.417373365868,414.101583892184
sd_s_lin_fit42,-200.116292237644,10,420.232584475288,419.832584475288
sxd_sx_lin_fit42,-199.478379522125,12,422.95675904425,422.466193006514
