species,sp_area,sister_area,intersection,union,minimal_area,divergence_time
albicans,1445.58010448276,223.506694505,221.03106713003,1448.05573185773,223.506694505,1.31636
alborufescens,591.473098943296,1451.08555846836,591.473098943296,1451.08555846836,591.473098943296,9.1906
amnicola,87.052414282797,165.647868685813,0,252.70028296861,87.052414282797,3.35463
angelana,1.767055992848,66.5742761831745,1.67187881504665,66.6694533609758,1.767055992848,2.63019
argyrophylla,792.671271121418,242.113481054351,242.113481054351,792.671271121418,242.113481054351,0.43665
atlantica,6.4763289624195,0.00732281347450042,0,6.48365177589401,0.00732281347450042,3.75432
baumgratziana,12.4207392180905,0.504037756833995,0.128354218645606,12.7964227562789,0.504037756833995,1.56765
brunnea,25.981658510634,234.025599444561,25.981658510634,234.025599444561,25.981658510634,0.56588
budlejoides,121.445776608634,62.5472936872186,55.2679776635942,128.725092632259,62.5472936872186,3.55495
burchellii,197.880388464257,271.299329071929,144.531657644139,324.648059892048,197.880388464257,1.35765
capixaba,0.358363024694497,12.5680496035421,0.322476273912866,12.6039363543237,0.358363024694497,3.72256
castaneiflora,2.31608698108101,21.748705899059,1.58282362656183,22.4819692535782,2.31608698108101,2.29587
chrysophylla,439.437973629708,350.993639826623,248.722301560369,541.709311895963,350.993639826623,0.53657
cinerascens,102.40412186849,50.7102515160964,33.215762482047,119.898610902539,50.7102515160964,3.65423
cipoensis,0.148545757478001,32.1339197321569,0.148545757477999,32.133919732157,0.148545757478001,7.11136
corallina,85.554227257755,35.92174769943,26.6685821411399,94.807392816045,35.92174769943,0.15833
cowanii,165.647868685813,87.052414282797,0,252.70028296861,87.052414282797,3.35463
cubatanensis,104.60197156881,5.03597178949698,4.2227841076542,105.415159250653,5.03597178949698,6.49991
cyathanthera,32.1339197321569,0.148545757478001,0.148545757477999,32.133919732157,0.148545757478001,7.11136
dichrophylla,350.993639826623,439.437973629708,248.722301560369,541.709311895963,350.993639826623,0.53657
discolor,62.5472936872186,121.445776608634,55.2679776635942,128.725092632259,62.5472936872186,3.55495
dispar,362.19956747586,364.631696553736,107.225026800435,619.606237229162,362.19956747586,3.12888
dura,0.00732281347450042,6.4763289624195,0,6.48365177589401,0.00732281347450042,3.75432
fallax,880.168185059042,1249.46791106189,878.999365663453,1250.63673045748,880.168185059042,8.02325
fasciculata,41.3232096035808,17.318656486335,17.3042374560036,41.3376286339122,17.318656486335,2.14313
ferruginata,271.299329071929,197.880388464257,144.531657644139,324.648059892048,197.880388464257,1.35765
flammea,234.025599444561,25.981658510634,25.981658510634,234.025599444561,25.981658510634,0.56588
formosa,50.7102515160964,102.40412186849,33.215762482047,119.898610902539,50.7102515160964,3.65423
heliotropoides,166.406613263672,528.817027938429,159.620805661839,535.602835540263,166.406613263672,6.1907
hyemalis,65.1257260189065,15.6089102000108,14.706035892892,66.0286003260253,15.6089102000108,0.37339
hypoleuca,467.934125058159,1451.01287356229,467.917674509216,1451.02932411124,467.934125058159,6.83457
kollmannii,0.0301472451434983,14.06782035903,0.0301472451434996,14.06782035903,0.0301472451434983,3.08577
kriegeriana,0.277211206995002,16.1516728620917,0.277211206995009,16.1516728620917,0.277211206995002,1.9493
lepidota,941.279375675669,16.1516728620917,15.7079455088274,941.723103028933,16.1516728620917,2.33141
longispicata,280.078278686521,0.3649134797725,0.364913479772504,280.078278686521,0.3649134797725,10.60368
lourteigiana,223.506694505,1445.58010448276,221.03106713003,1448.05573185773,223.506694505,1.31636
lymanii,15.6089102000108,65.1257260189065,14.706035892892,66.0286003260253,15.6089102000108,0.37339
macrothyrsa,528.817027938429,166.406613263672,159.620805661839,535.602835540263,166.406613263672,6.1907
macuxi,81.9583158328725,792.671271121418,81.9583158328725,792.671271121418,81.9583158328725,4.3122
mayarae,242.113481054351,792.671271121418,242.113481054351,792.671271121418,242.113481054351,0.43665
mellina,3.17878382402901,1174.15975621676,3.178783824029,1174.15975621676,3.17878382402901,10.06952
multispicata,411.916632586246,1057.68557943686,322.33445743086,1147.26775459225,411.916632586246,5.66497
navioensis,232.624306036912,612.852281498213,232.624306036913,612.852281498213,232.624306036912,5.5678
octopetala,12.5680496035421,0.358363024694497,0.322476273912864,12.6039363543237,0.358363024694497,3.72256
penduliflora,0.0413728633524981,234.025599444561,0.0413728633524979,234.025599444561,0.0413728633524981,1.92456
pepericarpa,100.668968738001,234.025599444561,100.668968738001,234.025599444561,100.668968738001,3.9944
petroniana,14.8663300824775,13.51471299093,10.8914903353593,17.4895527380481,13.51471299093,1.54089
polyandra,16.1516728620917,0.277211206995002,0.277211206995009,16.1516728620917,0.277211206995002,1.9493
pterocaulon,146.082619752466,792.671271121418,77.7182381203384,861.035652753545,146.082619752466,5.2357
punctata,1013.78605669042,612.531065668257,517.84857558046,1108.46854677822,612.531065668257,6.52469
racemifera,17.318656486335,41.3232096035808,17.3042374560035,41.3376286339122,17.318656486335,2.14313
robusta,1.10683250486401,234.025599444561,1.10683250486401,234.025599444561,1.10683250486401,0.90282
rondoniensis,46.8884444458204,46.522019861753,0,93.4104643075734,46.522019861753,4.116
rufescens,575.814895512998,114.378762537115,100.797320452955,589.396337597159,114.378762537115,5.61018
ruficalyx,646.556264675875,942.482648471803,627.772153638618,961.26675950906,646.556264675875,4.21426
ruschiana,0.504037756833995,12.4207392180905,0.128354218645605,12.7964227562789,0.504037756833995,1.56765
sclerophylla,35.92174769943,85.554227257755,26.6685821411399,94.807392816045,35.92174769943,0.15833
secundiflora,9.416904314694,612.852281498213,9.416904314694,612.852281498213,9.416904314694,0.61818
