lnlik,n_par,aic,aicc
d_fit34,-178.18476678821,5,366.369533576419,366.169533576419
sd_fit34,-176.329244918397,6,364.658489836794,364.421201701201
sxd_fit34,-176.016143144736,7,366.032286289473,365.756424220507
d_fit35,-167.440368654538,5,344.880737309077,344.680737309077
sd_fit35,-166.55173922041,6,345.103478440821,344.866190305227
sxd_fit35,-166.551754512223,7,347.103509024447,346.827646955481
d_fit36,-178.164155437593,5,366.328310875187,366.128310875187
sd_fit36,-177.008681368867,6,366.017362737734,365.780074602141
sxd_fit36,-176.98759208591,7,367.975184171821,367.699322102855
d_fit37,-179.604346964847,5,369.208693929695,369.008693929695
sd_fit37,-178.038901576144,6,368.077803152288,367.840515016695
sxd_fit37,-177.989980387595,7,369.97996077519,369.704098706225
d_fit38,-174.937553303428,5,359.875106606857,359.675106606857
sd_fit38,-173.908777661265,6,359.817555322529,359.580267186936
sxd_fit38,-173.908767820942,7,361.817535641884,361.541673572919
d_fit39,-178.805400270414,5,367.610800540829,367.410800540829
sd_fit39,-177.76285878811,6,367.525717576221,367.288429440627
sxd_fit39,-177.704627069726,7,369.409254139452,369.133392070487
d_fit40,-158.754043961762,5,327.508087923524,327.308087923524
sd_fit40,-157.177947905916,6,326.355895811832,326.118607676239
sxd_fit40,-157.177954555872,7,328.355909111745,328.080047042779
d_fit41,-170.80011607895,5,351.600232157899,351.400232157899
sd_fit41,-169.54178213731,6,351.083564274619,350.846276139026
sxd_fit41,-169.523250974056,7,353.046501948111,352.770639879146
d_fit42,-188.617298295176,5,387.234596590353,387.034596590353
sd_fit42,-187.480435347176,6,386.960870694353,386.72358255876
sxd_fit42,-187.402461183362,7,388.804922366724,388.529060297759
d_fit43,-189.414251216459,5,388.828502432919,388.628502432919
sd_fit43,-188.230464513274,6,388.460929026548,388.223640890954
sxd_fit43,-188.225298187609,7,390.450596375218,390.174734306252
d_fit44,-178.081650429213,5,366.163300858426,365.963300858426
sd_fit44,-176.180151050776,6,364.360302101552,364.123013965959
sxd_fit44,-175.910405314814,7,365.820810629628,365.544948560662
d_fit45,-187.093436527281,5,384.186873054562,383.986873054562
sd_fit45,-186.170723626258,6,384.341447252516,384.104159116923
sxd_fit45,-186.170748945946,7,386.341497891892,386.065635822926
d_fit46,-170.817689518278,5,351.635379036555,351.435379036555
sd_fit46,-168.72872608879,6,349.45745217758,349.220164041987
sxd_fit46,-168.728729164797,7,351.457458329593,351.181596260627
d_fit47,-172.663857583213,5,355.327715166426,355.127715166426
sd_fit47,-171.300245295042,6,354.600490590083,354.36320245449
sxd_fit47,-171.191826994514,7,356.383653989028,356.107791920062
d_fit48,-188.303119050305,5,386.606238100611,386.406238100611
sd_fit48,-186.314661276293,6,384.629322552586,384.392034416992
sxd_fit48,-186.305411504043,7,386.610823008086,386.33496093912
d_fit49,-170.99473944892,5,351.98947889784,351.78947889784
sd_fit49,-169.241018603247,6,350.482037206494,350.244749070901
sxd_fit49,-169.241032998036,7,352.482065996071,352.206203927106
d_fit50,-202.235577805587,5,414.471155611175,414.271155611175
sd_fit50,-201.231380485606,6,414.462760971212,414.225472835619
sxd_fit50,-201.231358839959,7,416.462717679917,416.186855610952
d_fit51,-164.447809583999,5,338.895619167999,338.695619167999
sd_fit51,-162.802438161949,6,337.604876323899,337.367588188306
sxd_fit51,-162.758377614154,7,339.516755228308,339.240893159342
d_fit52,-168.815163733246,5,347.630327466492,347.430327466492
sd_fit52,-167.32748433868,6,346.65496867736,346.417680541767
sxd_fit52,-167.243016264434,7,348.486032528868,348.210170459902
d_fit53,-196.116721076996,5,402.233442153991,402.033442153991
sd_fit53,-195.275818544597,6,402.551637089193,402.3143489536
sxd_fit53,-195.275818913115,7,404.55163782623,404.275775757265
d_fit54,-181.556467724515,5,373.112935449031,372.912935449031
sd_fit54,-180.42286699676,6,372.845733993521,372.608445857927
sxd_fit54,-180.422882144838,7,374.845764289677,374.569902220711
d_fit55,-171.825258097571,5,353.650516195142,353.450516195142
sd_fit55,-169.174853826895,6,350.349707653791,350.112419518197
sxd_fit55,-169.142817842693,7,352.285635685386,352.00977361642
d_fit56,-188.407271404469,5,386.814542808938,386.614542808938
sd_fit56,-186.349162849396,6,384.698325698792,384.461037563199
sxd_fit56,-186.349053594073,7,386.698107188147,386.422245119181
