sA,sB,sAB,xB,dA,dB
0.32801323837784,0.485378438273646,8.4449990048535e-08,1.49946071596235e-08,0.103974801334099,0.237178583883308
0.218187700482919,0.315420401417546,3.06974910352138e-06,1.91376789777529e-07,0.0699507215252623,0.161702351074688
0.332471060068594,0.50542129531938,1.11938271614437e-06,1.07873492762233e-07,0.119920285799081,0.225200780530833
0.279868198337713,0.435061991995947,3.99766355137321e-09,0.0165415250574112,0.082664659353147,0.269920212121126
0.152040073067897,0.228521088861764,4.67380252757026e-08,1.51822530434251e-08,0.049898064548736,0.106438126271178
0.19110603525327,0.316889403702966,1.32862681854966e-07,3.25115819929527e-07,0.0616901632821647,0.168563592786221
0.270630573003937,0.391395688373185,0.0282016260714921,1.7141197992655e-08,0.0858325577283897,0.217626343448382
0.248602383100782,0.347519440238694,3.19348715116338e-05,4.13451383548043e-05,0.0893363161088948,0.154638492274567
0.17475078991182,0.255517948460589,0.0180847721407632,2.65001184186649e-08,0.0523350841548756,0.14403693354928
0.270132439476264,0.389705488594861,2.53429686557208e-05,7.17242179717731e-06,0.0892743614565425,0.177658460878184
0.23705491653517,0.37009379429413,8.58997367746032e-06,1.4808763032653e-06,0.0791434844869796,0.180070603020968
0.237100156804081,0.352712557043313,1.07639833326483e-06,1.74619976650901e-06,0.0741839124523434,0.179874340790786
0.275340478304491,0.36929938250764,1.15108808890115e-06,2.23705391645205e-06,0.0988039592326643,0.162758680626978
0.200837945708411,0.349755625634671,6.44945017966426e-06,5.60036344479888e-06,0.0745959276395249,0.151375952175917
0.267906820626413,0.393265250833598,0.0205286887815082,5.91666225560664e-07,0.0922195096691357,0.207364693036487
0.259015280806733,0.384738592122115,0.0219865487013868,1.30580541023694e-08,0.0759214470272395,0.22027065588768
0.230771597686429,0.328469189532252,8.51334788840719e-07,3.72052571645798e-07,0.0815837689898431,0.146107529535115
0.26889549892547,0.383470858688704,8.02445629755468e-06,8.37548588804438e-07,0.0910387173091413,0.175499245356258
0.219800462290763,0.319687416320345,0.0163160688288783,2.38361174117356e-09,0.0668796622557789,0.175489674057932
0.313054504245136,0.444469519848299,3.85864006980209e-07,6.17855579363616e-07,0.10599208252575,0.204117981996061
0.303178701278597,0.394675336128351,6.78016607071695e-06,0.0107283858149107,0.0995370090540876,0.203573023185465
0.267136222344064,0.437194869650941,5.26139662945554e-06,1.28338028239852e-06,0.0925707853051155,0.203246361743367
0.266691288190879,0.421265364605989,2.45162774987351e-08,1.78104041591932e-08,0.0961370260932239,0.182592707685674
0.239968738978401,0.374661206844662,9.69621344054663e-07,1.32928605463067e-07,0.0858282750842094,0.170781712838845
0.356426993084062,0.510221536498963,2.07596516495875e-05,0.00842003210771489,0.134769249324968,0.245791119631352
0.263616055349352,0.316485275972302,8.89828473397936e-09,1.18895487304119e-09,0.0888529406821135,0.138999736777463
0.206015395679232,0.345855502375469,1.16290238925193e-08,2.64198041902145e-09,0.0706643047161097,0.156799270473698
0.228889668057677,0.327019913650958,1.46118380912819e-06,5.30842729780231e-07,0.0755354242793247,0.152652822922689
0.283479525042483,0.432557502965229,0.0201963327464022,1.68511916801526e-08,0.0946033943659382,0.236056814650937
0.213437903057161,0.37662353665646,2.58921725682813e-05,4.942420810936e-06,0.0750290091913151,0.170189042688446
0.271310959295088,0.411561996278581,0.0230930608981647,3.89662400428165e-08,0.0873092796553693,0.227724875146424
0.239397043159456,0.386620267585037,1.3622651590041e-07,1.51864125437121e-06,0.0850605211766701,0.178149317997037
0.287773400492849,0.390761681199634,2.26227831854957e-06,2.78441665856042e-07,0.104375122474952,0.174732110189801
0.252420816287529,0.39092205473711,0.0312021710529798,6.36277599956286e-08,0.074187610188457,0.236284018007223
0.240598361399396,0.358264158500411,2.96309178224137e-06,1.21577085187873e-06,0.0837255375612144,0.167249573094504
0.296722008493,0.393420740736482,0.0285190254466942,2.73103395444547e-08,0.0996064362130041,0.205043324451745
0.252371346332163,0.331244862883513,8.28565546822683e-10,1.23470272099413e-09,0.0855211269173678,0.154596989131685
0.244097446206275,0.352066216723833,1.06358195121177e-05,3.94895026305619e-06,0.0807095599740155,0.165984860030847
0.254451289231886,0.350501914697441,1.17074684168497e-05,1.85860515627709e-06,0.0830888781534095,0.165496654972296
0.243931624512626,0.330697360846291,0.0160139215655784,8.39340642294061e-08,0.0758740366531731,0.1827489579991
0.321345716296604,0.493356297108212,4.09952207292123e-09,1.06801635323243e-07,0.115260717634918,0.217990522293057
0.285857043524267,0.398525425937343,4.00254074675422e-08,0.0120668099914806,0.101647441338079,0.202832991304754
0.212608540000811,0.295309769792848,5.14568249518268e-06,1.22332072802342e-05,0.0762241101633446,0.129954154772701
0.204793748114899,0.285583450574195,4.88919869231938e-06,2.44335898845173e-06,0.0713788789471347,0.128311984629004
0.246841810814634,0.377366777762557,2.0440215551723e-07,0.00870968183390201,0.0866094383217384,0.193645926393748
0.219030104204092,0.287104489078657,5.72842091026532e-09,1.85662581276996e-08,0.0770100308352797,0.123466944169183
0.26833706435892,0.42788812101587,1.34685736594097e-07,9.92460139337334e-08,0.0953463952966341,0.1837359496899
0.268394310386301,0.390158195923342,1.17032364715581e-05,6.39424518531174e-06,0.0944681478776095,0.175396701211847
0.197880233323493,0.306925672643571,0.0181232670262665,4.00648578784956e-08,0.0538489168680581,0.184351534066393
0.271687439942668,0.407010556311128,0.0235709448077241,4.36468949763133e-07,0.0937737798512221,0.202528290202112
0.169562896106991,0.226262516986906,6.62829005139064e-06,1.39369917859351e-07,0.0585482504123123,0.102174980299085
0.302686525312403,0.443142754864831,0.0223502517919204,2.08497266723839e-08,0.112447104376058,0.221368290207547
0.291873384547301,0.416708117461276,7.90419230500501e-06,5.52662512283634e-06,0.0961888619358233,0.193042477507033
0.195864387243844,0.252946772714245,5.29453448555784e-07,2.29610984352526e-07,0.0630846869797914,0.114565937322935
0.24781763280746,0.336914719438074,8.09883443693832e-09,6.32271179403641e-07,0.091884161199576,0.138188036738709
0.262301311041171,0.43572904375742,6.07239989945827e-06,4.43444764671039e-08,0.0898514925138517,0.212131383294657
0.200856630951256,0.312496680478868,0.0321935945056287,3.96246779071515e-09,0.0647548654388335,0.174395531790021
0.2638940349362,0.411095795440516,0.0183992378089438,1.19209073126859e-08,0.0927648928808709,0.221768542745715
0.293345963331601,0.422351454085775,5.4537496176994e-06,5.20192874752911e-07,0.103340401713043,0.202390015536725
0.252255768257264,0.340387640254415,0.009978939532007,2.91838205353031e-07,0.0883453139607541,0.165192540731773
0.241939163975542,0.414118969560618,1.2780302905058e-07,3.22632795743049e-08,0.0887504344676996,0.176776109443398
0.320356536907837,0.481772311702838,1.6459193027014e-08,3.27327796372266e-08,0.118810664747014,0.196913336936016
