state,mean_ro,intercept_ro
AF,0.751095752782844,1.01627337583205
AFother,0.933882858122531,0.877539703483602
other,0.808786824563561,0.687134899475132
AF,0.751095752782844,1.00142316292752
AFother,0.933514558799586,0.883040159499895
other,0.808786824563561,0.642763045925857
AF,0.745211329452315,0.929156055457486
AFother,0.925947524351751,0.873265384291155
other,0.808786824563561,0.719080514103892
AF,0.714849502292973,0.933613549309387
AFother,0.9259955734328,0.87713957646404
other,0.839144850062558,0.841884538000957
AF,0.715613965725329,0.702586507650026
AFother,0.873030863061752,0.767152933921155
other,0.808786824563561,0.64304953005545
AF,0.745211329452315,1.10383431086073
AFother,0.926363872755745,0.876146609818617
other,0.879144850062558,0.833925388987706
AF,0.719539467700479,0.954526817525605
AFother,0.933514558799586,0.889206602635024
other,0.76013961739953,0.694651004406677
AF,0.721498389055858,0.891679798808211
AFother,0.880549848428538,0.805693823169644
other,0.808786824563561,0.656157197682841
AF,0.720733925623502,1.02151774075942
AFother,0.933514558799586,0.875434157338756
other,0.768786824563561,0.624479277525543
AF,0.721498389055858,1.05490793677139
AFother,0.880549848428538,0.818775491510469
other,0.879144850062558,0.811130381748191
AF,0.745211329452315,1.10911737022973
AFother,0.9259955734328,0.863835965610394
other,0.808786824563561,0.658136973960506
AF,0.721498389055858,1.05093221203822
AFother,0.880549848428538,0.848029649056301
other,0.808786824563561,0.700803967026444
AF,0.751095752782844,0.951433556449765
AFother,0.933477429329122,0.891218213886596
other,0.827364082086604,0.689702725881031
AF,0.721498389055858,0.932706897856743
AFother,0.88050179934749,0.833233155091959
other,0.879144850062558,0.811046141057466
AF,0.720733925623502,0.966873679191954
AFother,0.933466509718537,0.881952844630248
other,0.768786824563561,0.647601337089075
AF,0.719539467700479,1.03411131757186
AFother,0.933514558799586,0.888768427098692
other,0.768786824563561,0.738396767840271
AF,0.721498389055858,0.864041110571514
AFother,0.88050179934749,0.811595932868592
other,0.808786824563561,0.641642070130661
AF,0.721498389055858,0.944441347284935
AFother,0.88050179934749,0.828320596554356
other,0.808786824563561,0.720121578807047
AF,0.720733925623502,0.894364467013065
AFother,0.933882858122531,0.906237411949123
other,0.768786824563561,0.663081720305098
AF,0.745211329452315,0.965752561014581
AFother,0.9259955734328,0.8705680036413
other,0.879144850062558,0.84010287644967
AF,0.720733925623502,0.915207426378077
AFother,0.933466509718537,0.887449527171991
other,0.768786824563561,0.650014907184403
AF,0.751095752782844,0.843187714107325
AFother,0.933834809041483,0.886083966412511
other,0.877813374624885,0.858346682160004
AF,0.751095752782844,0.895600048619061
AFother,0.933514558799586,0.879837825299558
other,0.808786824563561,0.65175009196848
AF,0.721498389055858,0.967877033145787
AFother,0.88050179934749,0.831811561468986
other,0.80013961739953,0.717934727089021
AF,0.720733925623502,0.99938681019738
AFother,0.905794267088732,0.870398216784502
other,0.837813374624885,0.810103701811327
AF,0.751095752782844,0.946215827491914
AFother,0.933882858122531,0.884313996850413
other,0.808786824563561,0.67999946506262
AF,0.794574013652409,0.822791219910833
AFother,0.877910954162982,0.828743346293646
other,0.807455349125887,0.730248232856764
AF,0.745211329452315,0.981857024704174
AFother,0.926363872755745,0.873705397749671
other,0.808786824563561,0.697716957047252
AF,0.720733925623502,1.07409738439254
AFother,0.933514558799586,0.890386588081507
other,0.768786824563561,0.661167441747175
AF,0.751095752782844,0.894156650279638
AFother,0.877959003244031,0.838480074034233
other,0.808786824563561,0.657440547981403
AF,0.709703539789029,0.904546374039053
AFother,0.933882858122531,0.886713120535835
other,0.768786824563561,0.611811313577998
AF,0.721498389055858,0.764917078049144
AFother,0.88050179934749,0.827559724821854
other,0.808786824563561,0.734737020785594
AF,0.721498389055858,0.782490512226449
AFother,0.88050179934749,0.820011431827022
other,0.808786824563561,0.702243817038557
AF,0.720733925623502,0.861744827604536
AFother,0.933514558799586,0.891627626898528
other,0.768786824563561,0.660888900565663
AF,0.751095752782844,1.02635054622414
