species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.4861712646476,2.89207792400431,0.324722123863257,11.0535270647887,2.89207792400431,0.40322
alborufescens,7.77656904143329,16.7286945096719,5.07634981706865,19.4289137340365,7.77656904143329,5.94235
amnicola,1.48408568737576,14.7530489477326,0.270797912465419,15.9663367226429,1.48408568737576,2.94938
angelana,2.06649424323836e-05,2.20449518316999,0,2.20449518316999,2.06649424323836e-05,2.91892
argyrophylla,9.15273570448718,4.59373669125741,4.01374277299503,9.73272962274956,4.59373669125741,0.94131
atlantica,2.77475814868041,0.000154013087021719,0.000154013087021719,2.77475814868041,0.000154013087021719,4.71333
baumgratziana,2.44777972554025,0.35040435365309,0.17481175414838,2.62337232504496,0.35040435365309,3.4042
brunnea,7.94404591599686,5.76685380033083,4.37586988381665,9.33502983251104,5.76685380033083,0.71414
budlejoides,3.88485875004637,2.8489759844142,1.37124408764129,5.36259064681928,2.8489759844142,2.36663
burchellii,1.45785064857359,6.08679812399051,1.37562122882909,6.16902754373501,1.45785064857359,0.47241
capixaba,0.0140170078036509,3.77389842092728,0.0136381697549036,3.77427725897602,0.0140170078036509,4.18689
castaneiflora,2.41244771417391,2.91101343873323,1.41852856142207,3.90493259148507,2.41244771417391,2.17924
chrysophylla,14.0802912071757,3.66540554012714,3.26871386351178,14.4769828837911,3.66540554012714,0.55117
cinerascens,4.67358530022252,3.17410473727614,2.09136544793432,5.75632458956434,3.17410473727614,4.09536
cipoensis,0.0659493178188578,0.924552409011592,0.0641281556934252,0.926373571137024,0.0659493178188578,7.00509
corallina,1.97722065754699,1.69040058812894,1.084259097246,2.58336214842993,1.69040058812894,0.70339
cowanii,4.48306222723073,14.4731501139687,4.2452784097099,14.7109339314895,4.48306222723073,1.96141
cubatanensis,5.22350492566799,3.59159006478267,1.08421034516943,7.73088464528123,3.59159006478267,2.39048
cyathanthera,0.924552409011592,0.0659493178188578,0.0643218963450669,0.926179830485383,0.0659493178188578,7.00509
dichrophylla,3.66540554012714,14.0802912071757,3.26104832386704,14.4846484234358,3.66540554012714,0.55117
discolor,2.8489759844142,3.88485875004637,1.3871887863348,5.34664594812577,2.8489759844142,2.36663
dispar,4.28558343384231,6.17307825406725,0.74013388808849,9.71852779982107,4.28558343384231,2.13758
dura,0.000154013087021719,2.77475814868041,0.000154013087021719,2.77475814868041,0.000154013087021719,4.71333
fallax,3.033563671519,13.517079349727,2.89915677424301,13.6514862470029,3.033563671519,7.24125
fasciculata,3.56574368494534,0.70331157545184,0.66969673648781,3.59935852390937,0.70331157545184,2.30241
ferruginata,6.08679812399051,1.45785064857359,1.37724151296199,6.16740725960211,1.45785064857359,0.47241
flammea,5.402210813741,2.60147155515427,2.23080141176131,5.77288095713397,2.60147155515427,0.49291
formosa,3.17410473727614,4.67358530022252,2.08542039722335,5.76226964027532,3.17410473727614,4.09536
heliotropoides,1.55136291301647,1.57800553330257,0.90074982996889,2.22861861635015,1.55136291301647,5.36591
hyemalis,2.0437991259634,0.695297949864141,0.534296580325928,2.20480049550161,0.695297949864141,0.94116
hypoleuca,7.40609693296822,11.0385629116152,1.71687572003176,16.7277841245517,7.40609693296822,4.90957
kollmannii,0.000488979616988454,2.62903345387835,0.000488979616988454,2.62903345387835,0.000488979616988454,3.67143
kriegeriana,0.193681720461516,2.09171411716834,0.146442276446512,2.13895356118335,0.193681720461516,0.74214
lepidota,3.09301451751083,2.1375363778629,1.24870769192669,3.98184320344704,2.1375363778629,1.1858
longispicata,12.0982960233872,0.000157713917263078,0,12.0982960233872,0.000157713917263078,8.92599
lourteigiana,2.89207792400431,8.4861712646476,0.338189861719337,11.0400593269326,2.89207792400431,0.40322
lymanii,0.695297949864141,2.0437991259634,0.532770018667854,2.20632705715968,0.695297949864141,0.94116
macrothyrsa,1.57800553330257,1.55136291301647,0.903325240490602,2.22604320582844,1.55136291301647,5.36591
macuxi,1.64066244011339,9.69460253250522,1.45315816124329,9.88210681137532,1.64066244011339,3.18811
mayarae,4.59373669125741,9.15273570448718,4.03800546678688,9.70846692895771,4.59373669125741,0.94131
mellina,0.21142321864615,16.1085590688176,0.152003621248866,16.1679786662149,0.21142321864615,4.61329
multispicata,4.36278696456178,14.6349388225273,2.84684527973447,16.1508805073546,4.36278696456178,4.25822
navioensis,2.23953727190253,10.1781516477241,1.48044317786815,10.9372457417585,2.23953727190253,2.73208
octopetala,3.77389842092728,0.0140170078036509,0.0136381697549036,3.77427725897602,0.0140170078036509,4.18689
penduliflora,0.011724493656324,9.39835386424263,0.011724493656324,9.39835386424263,0.011724493656324,2.25003
pepericarpa,1.83624301626065,9.41289154719755,1.67833514016944,9.57079942328876,1.83624301626065,4.70886
petroniana,2.90190972925337,0.188628860422575,0.178705817089534,2.91183277258641,0.188628860422575,1.05155
polyandra,2.09171411716834,0.193681720461516,0.148331854207112,2.13706398342275,0.193681720461516,0.74214
pterocaulon,2.01229091848759,9.87682657935477,0.837576586490908,11.0515409113515,2.01229091848759,6.02062
punctata,12.0455468890287,32.8153957773032,10.8369539420691,34.0239887242627,12.0455468890287,9.62555
racemifera,0.70331157545184,3.56574368494534,0.670068171172495,3.59898708922469,0.70331157545184,2.30241
robusta,0.443432194090138,9.34827340955919,0.41948685560927,9.37221874804006,0.443432194090138,0.87219
rondoniensis,1.36483921847407,1.87997741674157,0.0396518309807439,3.2051648042349,1.36483921847407,3.38689
rufescens,3.71361162213669,15.6303847451006,1.4321600311432,17.9118363360941,3.71361162213669,3.67677
ruficalyx,12.1146680239453,3.94553014857187,2.52688455328758,13.5333136192296,3.94553014857187,3.3764
ruschiana,0.35040435365309,2.44777972554025,0.172664429418472,2.62551964977486,0.35040435365309,3.4042
sclerophylla,1.69040058812894,1.97722065754699,1.08737547316115,2.58024577251478,1.69040058812894,0.70339
secundiflora,0.99214406289967,9.65123846784902,0.501822076071488,10.1415604546772,0.99214406289967,0.85526
serialis,9.65123846784902,0.99214406289967,0.451639868464339,10.1917426622844,0.99214406289967,0.85526
setosociliata,3.59159006478267,5.22350492566799,1.05817704592102,7.75691794452965,3.59159006478267,2.39048
shepherdii,0.188628860422575,2.90190972925337,0.178068557425944,2.91247003225,0.188628860422575,1.05155
stenostachya,3.73965607774164,11.0576964592622,1.33094455564211,13.4664079813618,3.73965607774164,6.58718
suberosa,0.000157713917263078,12.0982960233872,0,12.0982960233872,0.000157713917263078,8.92599
tiliifolia,15.6303847451006,3.71361162213669,1.42128561936535,17.9227107478719,3.71361162213669,3.67677
valtheri,1.87997741674157,1.36483921847407,0.0406159232122059,3.20420071200343,1.36483921847407,3.38689
willdenowii,2.60147155515427,5.402210813741,2.2511430659719,5.75253930292338,2.60147155515427,0.49291
