species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.4861712646476,2.89207792400431,0.336693446401994,11.0415557422499,2.89207792400431,0.49335
alborufescens,7.77656904143329,23.0883695384418,5.4870291150092,25.3779094648659,7.77656904143329,11.64524
amnicola,1.48408568737576,4.48306222723073,0.0631042858810738,5.90404362872541,1.48408568737576,1.2643
angelana,2.06649424323836e-05,2.20418987083838,0,2.20418987083838,2.06649424323836e-05,4.38143
argyrophylla,9.15273570448718,4.59373669125741,4.01258740662399,9.7338849891206,4.59373669125741,5.12428
atlantica,2.77475814868041,0.000154013087021719,0.000154013087021719,2.77475814868041,0.000154013087021719,5.27309
baumgratziana,2.44777972554025,0.35040435365309,0.176080627852416,2.62210345134092,0.35040435365309,2.63014
brunnea,7.94404591599686,5.79623618974612,4.38012391684825,9.36015818889473,5.79623618974612,0.98905
budlejoides,3.88485875004637,2.8489759844142,1.35700774952209,5.37682698493848,2.8489759844142,4.75145
burchellii,1.45785064857359,6.08679812399051,1.37157051849685,6.17307825406725,1.45785064857359,0.64164
capixaba,0.0140170078036509,3.77389842092728,0.0136381697549036,3.77427725897602,0.0140170078036509,3.58483
castaneiflora,2.41244771417391,2.91174173549162,1.41001127122963,3.9141781784359,2.41244771417391,2.46534
chrysophylla,14.0802912071757,3.66540554012714,3.27829578806771,14.4674009592352,3.66540554012714,0.96336
cinerascens,4.67358530022252,3.17410473727614,2.0877467214146,5.75994331608407,3.17410473727614,5.54677
cipoensis,0.0659493178188578,0.924552409011592,0.0639344150417834,0.926567311788666,0.0659493178188578,9.07785
corallina,1.97722065754699,1.69040058812894,1.08905352173084,2.57856772394509,1.69040058812894,0.54672
cowanii,4.48306222723073,1.48408568737576,0.0644662488857013,5.90268166572078,1.48408568737576,1.2643
cubatanensis,5.22350492566799,3.59159006478267,1.0512858784729,7.76380911197776,3.59159006478267,4.52731
cyathanthera,0.924552409011592,0.0659493178188578,0.0643606444753953,0.926141082355054,0.0659493178188578,9.07785
dichrophylla,3.66540554012714,14.0802912071757,3.26807506854139,14.4776216787615,3.66540554012714,0.96336
discolor,2.8489759844142,3.88485875004637,1.35472993542302,5.37910479903755,2.8489759844142,4.75145
dispar,4.28558343384231,6.17307825406725,0.732562185908557,9.726099502001,4.28558343384231,3.91168
dura,0.000154013087021719,2.77475814868041,0.000154013087021719,2.77475814868041,0.000154013087021719,5.27309
fallax,3.033563671519,3.73965607774164,2.9114447393944,3.86177500986624,3.033563671519,8.41599
fasciculata,3.56574368494534,0.70331157545184,0.667468128379697,3.60158713201749,0.70331157545184,2.85777
ferruginata,6.08679812399051,1.45785064857359,1.38129222329423,6.16335654926987,1.45785064857359,0.64164
flammea,5.402210813741,2.60147155515427,2.2315548063617,5.77212756253357,2.60147155515427,0.24485
formosa,3.17410473727614,4.67358530022252,2.07947534651237,5.76821469098629,3.17410473727614,5.54677
heliotropoides,1.55136291301647,1.57800553330257,0.91427073520788,2.21509771111116,1.55136291301647,6.77631
hyemalis,2.0437991259634,0.695297949864141,0.535416058875183,2.20368101695236,0.695297949864141,1.23494
hypoleuca,7.40609693296822,11.0430521575673,1.74070999268465,16.7084390978508,7.40609693296822,9.74889
kollmannii,0.000488979616988454,2.62571486111395,0.000488979616988454,2.62571486111395,0.000488979616988454,3.79472
kriegeriana,0.193681720461516,2.09171411716834,0.145025093126062,2.1403707445038,0.193681720461516,0.58935
lepidota,3.09301451751083,2.1375363778629,1.29459830342883,3.9359525919449,2.1375363778629,1.73249
longispicata,12.0982960233872,0.000157713917263078,0,12.0982960233872,0.000157713917263078,12.30961
lourteigiana,2.89207792400431,8.4861712646476,0.326218539180599,11.0520306494713,2.89207792400431,0.49335
lymanii,0.695297949864141,2.0437991259634,0.535314288097978,2.20378278772956,0.695297949864141,1.23494
macrothyrsa,1.57800553330257,1.55136291301647,0.921675040457803,2.20769340586124,1.55136291301647,6.77631
macuxi,1.64066244011339,9.70731156258667,1.45850429910383,9.88946970359624,1.64066244011339,6.88223
mayarae,4.59373669125741,9.15273570448718,4.01143204025295,9.73504035549164,4.59373669125741,5.12428
mellina,0.21142321864615,16.1255596753591,0.17134953668054,16.1656333573247,0.21142321864615,8.88906
multispicata,4.36278696456178,14.6256498340692,2.82628549196557,16.1621513066654,4.36278696456178,7.89932
navioensis,2.23953727190253,10.1595142675528,1.48744605354759,10.9116054859077,2.23953727190253,4.06013
octopetala,3.77389842092728,0.0140170078036509,0.0136381697549036,3.77427725897602,0.0140170078036509,3.58483
penduliflora,0.011724493656324,9.3768405127326,0.011724493656324,9.3768405127326,0.011724493656324,4.7273
pepericarpa,1.83624301626065,9.35775691907756,1.64314424206911,9.55085569326909,1.83624301626065,5.67569
petroniana,2.90190972925337,0.188628860422575,0.179252039658325,2.91128655001762,0.188628860422575,2.00401
polyandra,2.09171411716834,0.193681720461516,0.141245937604862,2.144149900025,0.193681720461516,0.58935
pterocaulon,2.01229091848759,9.89910301501548,0.839651564300792,11.0717423692023,2.01229091848759,10.05473
punctata,12.0455468890287,15.9924978765391,9.42991983376736,18.6081249318004,12.0455468890287,4.71201
racemifera,0.70331157545184,3.56574368494534,0.666910976352669,3.60214428404451,0.70331157545184,2.85777
robusta,0.443432194090138,9.32609975417029,0.425173221392309,9.34435872686812,0.443432194090138,1.56026
rondoniensis,1.36483921847407,14.4001032948629,1.18692963433425,14.5780128790027,1.36483921847407,6.12076
rufescens,3.71361162213669,15.6303847451006,1.38213773696508,17.9618586302722,3.71361162213669,4.11759
ruficalyx,12.1146680239453,3.95867451594062,2.51202008943541,13.5613224504505,3.95867451594062,5.66975
ruschiana,0.35040435365309,2.44777972554025,0.174323725800674,2.62386035339266,0.35040435365309,2.63014
sclerophylla,1.69040058812894,1.97722065754699,1.09041864370371,2.57720260197222,1.69040058812894,0.54672
secundiflora,0.99214406289967,9.65123846784902,0.494318981623453,10.1490635491252,0.99214406289967,1.18883
serialis,9.65123846784902,0.99214406289967,0.460003569732197,10.1833789610165,0.99214406289967,1.18883
setosociliata,3.59159006478267,5.22350492566799,1.09492993897761,7.72016505147306,3.59159006478267,4.52731
shepherdii,0.188628860422575,2.90190972925337,0.177886483236347,2.9126521064396,0.188628860422575,2.00401
stenostachya,3.73965607774164,3.033563671519,2.90254865824625,3.87067109101439,3.033563671519,8.41599
suberosa,0.000157713917263078,12.0982960233872,0,12.0982960233872,0.000157713917263078,12.30961
tiliifolia,15.6303847451006,3.71361162213669,1.42672282525427,17.917273541983,3.71361162213669,4.11759
valtheri,1.87997741674157,13.5480988814911,0.983633367733809,14.4444429304989,1.87997741674157,5.99628
willdenowii,2.60147155515427,5.402210813741,2.20744617914915,5.79623618974612,2.60147155515427,0.24485
