species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.4861712646476,2.89207792400431,0.324722123863257,11.0535270647887,2.89207792400431,1.15697
alborufescens,7.77656904143329,23.1599331797316,5.48311778468909,25.4533844364758,7.77656904143329,11.37285
amnicola,1.48408568737576,14.7284259491832,0.254333497405707,15.9581781391532,1.48408568737576,4.20684
angelana,2.06649424323836e-05,2.2025615384031,0,2.2025615384031,2.06649424323836e-05,3.88503
argyrophylla,9.15273570448718,4.59373669125741,4.05880206146561,9.68767033427898,4.59373669125741,3.99444
atlantica,2.77475814868041,0.000154013087021719,0.000154013087021719,2.77475814868041,0.000154013087021719,4.72628
baumgratziana,2.44777972554025,0.35040435365309,0.176471050530581,2.62171302866276,0.35040435365309,2.54058
brunnea,7.94404591599686,5.74877232992142,4.33564424278317,9.3571740031351,5.74877232992142,1.31173
budlejoides,3.88485875004637,2.8489759844142,1.3604244706707,5.37341026378987,2.8489759844142,8.26073
burchellii,1.45785064857359,6.08679812399051,1.3825074363939,6.1621413361702,1.45785064857359,1.8196
capixaba,0.0140170078036509,3.77389842092728,0.0140170078036509,3.77389842092728,0.0140170078036509,5.08473
castaneiflora,2.41244771417391,2.91237899515521,1.4117756286595,3.91305108066962,2.41244771417391,3.55871
chrysophylla,14.0802912071757,3.66540554012714,3.26040952889664,14.4852872184062,3.66540554012714,3.79676
cinerascens,4.67358530022252,3.17410473727614,2.0967935377139,5.75089649978476,3.17410473727614,8.69556
cipoensis,0.0659493178188578,0.924552409011592,0.0644768888663804,0.926024837964069,0.0659493178188578,10.97458
corallina,1.97722065754699,1.69040058812894,1.09504655233689,2.57257469333904,1.69040058812894,1.58549
cowanii,4.48306222723073,14.4718725240279,4.24077071838368,14.714164032875,4.48306222723073,3.96649
cubatanensis,5.22350492566799,3.59159006478267,1.0819132893534,7.73318170109727,3.59159006478267,3.98165
cyathanthera,0.924552409011592,0.0659493178188578,0.0645156369967087,0.925986089833741,0.0659493178188578,10.97458
dichrophylla,3.66540554012714,14.0802912071757,3.28212855789008,14.4635681894128,3.66540554012714,3.79676
discolor,2.8489759844142,3.88485875004637,1.34391031845243,5.38992441600814,2.8489759844142,8.26073
dispar,4.28558343384231,6.16902754373501,0.727514384455268,9.72709659312205,4.28558343384231,7.95139
dura,0.000154013087021719,2.77475814868041,0.000154013087021719,2.77475814868041,0.000154013087021719,4.72628
fallax,3.033563671519,3.73965607774164,2.90012245429676,3.87309729496388,3.033563671519,11.67006
fasciculata,3.56574368494534,0.70331157545184,0.669882453830153,3.59917280656703,0.70331157545184,8.01681
ferruginata,6.08679812399051,1.45785064857359,1.38088715226101,6.1637616203031,1.45785064857359,1.8196
flammea,5.402210813741,2.60147155515427,2.2217606765566,5.78192169233867,2.60147155515427,0.52371
formosa,3.17410473727614,4.67358530022252,2.08671279955182,5.76097723794684,3.17410473727614,8.69556
heliotropoides,1.55136291301647,1.57800553330257,0.898818272077606,2.23055017424144,1.55136291301647,10.21515
hyemalis,2.0437991259634,0.695297949864141,0.531955852450215,2.20714122337732,0.695297949864141,1.41248
hypoleuca,7.40609693296822,11.055023480106,1.71792894865333,16.7431914644209,7.40609693296822,6.19804
kollmannii,0.000488979616988454,2.62776458017431,0.000488979616988454,2.62776458017431,0.000488979616988454,6.50644
kriegeriana,0.193681720461516,2.09171411716834,0.146914670886662,2.1384811667432,0.193681720461516,0.97585
lepidota,3.09301451751083,2.13918975840342,1.2658785244533,3.96632575146096,2.13918975840342,1.20252
longispicata,12.0982960233872,0.000157713917263078,0,12.0982960233872,0.000157713917263078,12.35595
lourteigiana,2.89207792400431,8.4861712646476,0.329211369815283,11.0490378188366,2.89207792400431,1.15697
lymanii,0.695297949864141,2.0437991259634,0.535314288097978,2.20378278772956,0.695297949864141,1.41248
macrothyrsa,1.57800553330257,1.55136291301647,0.915558440468736,2.21381000585031,1.55136291301647,10.21515
macuxi,1.64066244011339,9.70269009710251,1.46913863955608,9.87421389765981,1.64066244011339,9.5528
mayarae,4.59373669125741,9.15273570448718,4.01605350573711,9.73041889000748,4.59373669125741,3.99444
mellina,0.21142321864615,16.1570885607674,0.157176471756677,16.2113353076569,0.21142321864615,13.3608
multispicata,4.36278696456178,14.6628770372696,2.82628549196557,16.1993785098658,4.36278696456178,8.96893
navioensis,2.23953727190253,10.152015081262,1.4574766372699,10.9340757158947,2.23953727190253,4.67637
octopetala,3.77389842092728,0.0140170078036509,0.0140170078036509,3.77389842092728,0.0140170078036509,5.08473
penduliflora,0.011724493656324,9.3895331631838,0.011724493656324,9.3895331631838,0.011724493656324,6.79396
pepericarpa,1.83624301626065,9.36998183699234,1.64124375789669,9.56498109535631,1.83624301626065,7.94935
petroniana,2.90190972925337,0.188628860422575,0.178796854184333,2.91174173549162,0.188628860422575,2.15071
polyandra,2.09171411716834,0.193681720461516,0.149512840307487,2.13588299732237,0.193681720461516,0.97585
pterocaulon,2.01229091848759,9.88756009531908,0.83889700559641,11.0609540082103,2.01229091848759,9.90257
punctata,12.0455468890287,15.9344753349319,9.32732186739721,18.6527003565633,12.0455468890287,4.78039
racemifera,0.70331157545184,3.56574368494534,0.672853931307636,3.59620132908955,0.70331157545184,8.01681
robusta,0.443432194090138,9.36443061016991,0.431948890259118,9.37591391400093,0.443432194090138,2.43207
rondoniensis,1.36483921847407,14.3930511119436,1.17542236876189,14.5824679616558,1.36483921847407,6.77807
rufescens,3.71361162213669,15.6303847451006,1.41258608994306,17.9314102772942,3.71361162213669,4.32002
ruficalyx,12.1146680239453,1.87997741674157,0.740781768878079,13.2538636718088,1.87997741674157,3.50598
ruschiana,0.35040435365309,2.44777972554025,0.174714148478839,2.6234699307145,0.35040435365309,2.54058
sclerophylla,1.69040058812894,1.97722065754699,1.0916904551975,2.57593079047843,1.69040058812894,1.58549
secundiflora,0.99214406289967,9.65123846784902,0.486140136194254,10.1572423945544,0.99214406289967,2.51147
serialis,9.65123846784902,0.99214406289967,0.518549478607204,10.1248330521415,0.99214406289967,2.51147
setosociliata,3.59159006478267,5.22350492566799,1.0757878071773,7.73930718327336,3.59159006478267,3.98165
shepherdii,0.188628860422575,2.90190972925337,0.179252039658325,2.91128655001762,0.188628860422575,2.15071
stenostachya,3.73965607774164,3.033563671519,2.9114447393944,3.86177500986624,3.033563671519,11.67006
suberosa,0.000157713917263078,12.0982960233872,0,12.0982960233872,0.000157713917263078,12.35595
tiliifolia,15.6303847451006,3.71361162213669,1.40388656052078,17.9401098067165,3.71361162213669,4.32002
valtheri,1.87997741674157,12.1146680239453,0.727379467138509,13.2672659735483,1.87997741674157,3.50598
willdenowii,2.60147155515427,5.402210813741,2.21799370355464,5.78568866534063,2.60147155515427,0.52371
