species,sp_hv,sister_hv,intersection,union,minimal_hv,divergence_time
albicans,8.4861712646476,2.89207792400431,0.324722123863257,11.0535270647887,2.89207792400431,0.48849
alborufescens,7.77656904143329,23.1343691209581,5.5523279706339,25.3586101917575,7.77656904143329,11.29412
amnicola,1.48408568737576,4.48306222723073,0.0640122612174921,5.90313565338899,1.48408568737576,2.21879
angelana,2.06649424323836e-05,2.20520757861043,0,2.20520757861043,2.06649424323836e-05,2.17046
argyrophylla,9.15273570448718,4.59373669125741,4.01143204025295,9.73504035549164,4.59373669125741,0.83436
atlantica,2.77475814868041,0.000154013087021719,0.000154013087021719,2.77475814868041,0.000154013087021719,4.62036
baumgratziana,2.44777972554025,0.35040435365309,0.173152457766179,2.62503162142716,0.35040435365309,2.89839
brunnea,7.94404591599686,5.78041490313789,4.35943278734375,9.365028031791,5.78041490313789,0.86804
budlejoides,3.88485875004637,2.8489759844142,1.37921643698804,5.35461829747253,2.8489759844142,4.80565
burchellii,1.45785064857359,6.08679812399051,1.37724151296199,6.16740725960211,1.45785064857359,1.30506
capixaba,0.0140170078036509,3.77389842092728,0.0136381697549036,3.77427725897602,0.0140170078036509,2.9584
castaneiflora,2.41244771417391,2.91128655001762,1.41497097420767,3.90876328998387,2.41244771417391,1.98836
chrysophylla,14.0802912071757,3.66540554012714,3.26999145345257,14.4757052938503,3.66540554012714,0.71318
cinerascens,4.67358530022252,3.17410473727614,2.08903912374307,5.75865091375559,3.17410473727614,2.68804
cipoensis,0.0659493178188578,0.924552409011592,0.0639344150417834,0.926567311788666,0.0659493178188578,6.06645
corallina,1.97722065754699,1.69040058812894,1.0962451584581,2.57137608721783,1.69040058812894,0.79442
cowanii,4.48306222723073,1.48408568737576,0.0649202365539105,5.90222767805257,1.48408568737576,2.21879
cubatanensis,5.22350492566799,3.59159006478267,1.07961623353736,7.7354787569133,3.59159006478267,1.8629
