sA.c,sA.m,sB.c,sB.m,sAB.c,sAB.m,xA.c,xA.m,xB.c,xB.m,dA,dB
0.153630502105448,0.0921858357122834,0.0176468627960876,0.532494329651696,8.61754083767682e-07,5.00608329041004e-07,1.88890734406456e-08,9.02290333391119e-10,1.85131343945835e-05,-2.84975801851655e-06,0.120446425599561,0.20274356219408
0.104205015897695,0.0498683698517152,0.132343977654663,0.136327039231842,5.24275937044048e-06,-2.28350394162107e-07,0.0774688288602246,-0.00830130791983205,4.0621595402417e-09,8.23350553060503e-06,0.0772154241226126,0.16241178018361
0.211280254582853,0.146288381739362,0.157627367052173,0.423569571477164,1.41337744706597e-05,-2.27146151478467e-06,0.512976420423524,-0.0824445666443418,4.66355048166514e-05,-7.4777097761847e-06,0.078204651799212,0.417048144758823
0.133907409237185,0.0634677668858793,0.278690652381956,0.215825233366914,7.74944275335654e-09,1.60825982455226e-06,2.44965510067777e-07,1.71193758190657e-07,1.90626723431969e-07,0.187947286568641,0.151652235518019,0.21676169985216
0.041759635128464,0.0353286311129405,0.109167585452314,0.0584845415103247,2.50375636504147e-07,3.4592768145361e-06,0.100973699752515,-0.008352281006645,4.46422384829789e-07,1.24796690645337e-06,0.0465025773020128,0.131700262262666
0.0784791893384143,0.0447066850538779,0.118348568673812,0.25463216826168,1.38654200011066e-06,2.17342177210121e-05,0.125159870703381,-0.0121962104715277,1.95837996661808e-05,0.242303109136586,0.128070708250298,0.165724424032456
0.120411474830612,0.118145855323058,0.116598724431711,0.248338093801272,2.80878314527919e-06,1.26349869633254e-06,0.307275883788781,-0.0420971880512597,0.000243292611204105,-3.30428209122087e-05,0.0800677040695572,0.287061213959355
0.0921119211416999,0.0627413527850262,0.141659962345247,0.156230346805542,9.46802553936077e-05,-1.13535980607364e-05,1.46979888632347e-05,8.42519770466674e-06,5.82087800107207e-08,9.52379189118065e-06,0.0975471351544892,0.13810988116373
0.0505742095160368,0.0437906843898928,0.0494611973923045,0.146412801218395,1.10065126647152e-05,-1.02691085421836e-06,0.054463407292982,-0.00509319632436578,8.58577202993312e-07,0.0899244790885459,0.0942097196652801,0.124404568798512
0.106508214500466,0.111003791691349,0.116556625353008,0.237445103495795,1.50791459351338e-05,-2.05057136766304e-06,0.277296353733425,-0.0406013560969693,6.10550150693381e-06,3.67600981934883e-06,0.0767827426173341,0.249556802096522
0.0264567783777032,0.163863197492755,1.57909830090998e-06,0.475905588808622,5.35969372015451e-06,1.13764454191546e-05,0.238075053950037,0.0735183269009428,7.59647003883859e-06,0.432581620305638,0.118771588132119,0.257389597907213
0.124561885668081,0.0414155368229316,0.235651456091037,0.110019630707212,8.07972263805016e-07,8.74636711472529e-09,1.8889997704925e-06,-2.04503830978953e-07,3.78756914823425e-07,0.0759097983874253,0.106909503446506,0.165226031272142
0.10324268239775,0.0837206799145089,0.136618267890075,0.198760129168342,3.00921434743818e-06,2.04714221700254e-06,0.0675677717962023,-0.00913698157894182,5.5972861947426e-06,-7.52962852336428e-07,0.0993965134810634,0.168806837860094
0.0992621454919925,0.037552023530611,0.124122980116868,0.182932330453656,1.19301568251427e-06,3.31037709669244e-06,0.0798673970938659,-0.00783253632644473,0.000197700331606963,-1.8926735509158e-05,0.0624086028580876,0.176388189742254
0.173406262704092,0.101310620879811,0.161196888075105,0.20515651615474,5.31403416371204e-05,-7.08030428485092e-06,0.441618013942688,-0.0601122111884849,9.49475628796568e-05,-1.27484969669363e-05,0.0651302445274562,0.367922425286541
0.0737055072719934,0.126033041821847,0.175595995793421,0.197428614227896,2.62176015076774e-06,2.67431188078504e-07,0.239598676351357,-0.03573625195255,3.65968609519161e-06,0.0996307060343695,0.0973130655055119,0.260513076092362
0.116563403965321,0.0860467790365325,0.122231059611095,0.154884234840709,2.44642299422019e-06,1.51051901972769e-05,0.35888251525514,-0.0418897453154267,5.37409361996203e-05,8.00922079077876e-06,0.0576246803500584,0.269187055824277
0.14331694635765,0.115118167912919,0.119073390692965,0.226264067299512,4.68971863934715e-06,-1.29507338928696e-07,0.427842677736233,-0.0561811524653188,6.19947847167713e-06,-4.06549063578202e-07,0.0644797568926013,0.311403998163514
0.128844142673529,0.113074788920127,0.063134357097556,0.209986618588768,1.33481839229872e-07,9.58568686816016e-07,0.627517104179443,-0.0758540416317579,0.0862783081233234,-0.0104293165035552,0.043944080462779,0.42620282487036
0.107836471588554,0.118613890024652,0.157139012101422,0.289453682884391,0.00056408864758238,-9.24780657346735e-05,0.0839833750648481,-0.0137684479030097,7.1751539861345e-07,7.83700695796879e-08,0.109676932528784,0.210042192903989
0.20449451186783,0.24458575816615,0.080684518481105,0.359981772662519,8.11035435687642e-06,3.63552191594657e-06,1.22305884839116,-0.193814046213924,0.445613568997896,-0.070618251435415,0.0630610692847463,0.681698039350899
0.117644748201107,0.0596785596877823,0.065675251661277,0.486648399103607,9.70667685268178e-06,6.66070437537521e-06,3.8418260508655e-07,3.09016609273751e-06,1.36532591446543e-06,0.390282624242133,0.184958125593284,0.170225546029072
0.0854336853047561,0.0746463110443019,0.148547105113496,0.252939654528771,9.91536212005643e-06,-1.29475492364806e-06,0.000120264566147893,-1.56661750430684e-05,3.42476409067057e-06,2.87153636186798e-07,0.094138285549962,0.17802112871635
0.121407802089523,0.08605352176288,0.107704425578685,0.225810689595029,6.42607164973867e-08,5.76584351783515e-08,0.356431810109617,-0.0407941891408286,6.03975099912903e-07,4.44272235772789e-06,0.0565391562598939,0.299994190041912
0.182618395936928,0.149706722454722,0.0718142066793812,0.66102619637341,9.78217951840683e-07,-1.7274182331628e-07,0.28175871742455,-0.0510407906596092,6.89750019672819e-09,0.492147910122338,0.18525741995651,0.316063474208755
0.185360503334716,0.170841989683288,0.150715087701494,0.0936641579738198,3.72485822140725e-07,1.21036248933908e-07,0.893537016804623,-0.123291893991523,9.99850531981452e-08,-5.52419980238635e-09,0.0363513017965906,0.588547351573967
0.0867836869852462,0.0454435399019061,0.0501066101725175,0.216173275785302,1.04894449784635e-05,-9.45069390766408e-07,0.074087995747257,-0.00741269544697105,1.87131257453794e-06,-1.85876462070451e-07,0.0633182015990116,0.175440601069182
0.108957787554106,0.0866230682334909,0.0994864315989629,0.167990218784436,1.22548547526127e-05,-1.37351826063609e-06,0.348113988425905,-0.0412383771494246,0.00187563330704239,-0.000220235980183501,0.0554328009803515,0.268216795922357
0.259205312106209,0.25008177333055,0.132698338613062,0.299977949458663,3.50201366068715e-05,-5.36194062328904e-06,1.34399536200664,-0.2059294881867,1.64182770807e-05,-2.51355549529574e-06,0.032150124125274,0.93205018311395
0.0615646578259864,0.0512076713028801,0.155802145368162,0.180904514320382,1.93450122482759e-05,3.87072830666057e-06,6.65388795522413e-06,-7.05474240658213e-07,6.59283703495045e-07,3.18808271143394e-06,0.072119079718141,0.169297042172143
0.116511476348558,0.136139668987375,1.74675278059961e-06,0.582276728080015,3.5194942355324e-05,-5.1935668195363e-06,0.440068773621468,-0.0649611610173957,5.99714103848795e-06,0.463768044406304,0.141599324369387,0.285030402328458
0.165889038624765,0.0684054517761691,0.168298003705728,0.260600939360794,7.16642805887863e-09,1.75037168012054e-08,0.373343201387323,-0.0420809976678985,1.48025762882368e-08,0.217595200071327,0.0983246885503543,0.281600042631656
